Table 1.1.5. Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars] Seasonally adjusted at annual rates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: November 24, 2015 - Next Release Date December 22, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,?ÿ,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015
Line,?ÿ,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III
1,        Gross domestic product,2796.5,2799.9,2860,2993.5,3131.8,3167.3,3261.2,3283.5,3273.8,3331.3,3367.1,3407.8,3480.3,3583.8,3692.3,3796.1,3912.8,4015,4087.4,4147.6,4237,4302.3,4394.6,4453.1,4516.3,4555.2,4619.6,4669.4,4736.2,4821.5,4900.5,5022.7,5090.6,5207.7,5299.5,5412.7,5527.4,5628.4,5711.6,5763.4,5890.8,5974.7,6029.5,6023.3,6054.9,6143.6,6218.4,6279.3,6380.8,6492.3,6586.5,6697.6,6748.2,6829.6,6904.2,7032.8,7136.3,7269.8,7352.3,7476.7,7545.3,7604.9,7706.5,7799.5,7893.1,8061.5,8159,8287.1,8402.1,8551.9,8691.8,8788.3,8889.7,8994.7,9146.5,9325.7,9447.1,9557,9712.3,9926.1,10031,10278.3,10357.4,10472.3,10508.1,10638.4,10639.5,10701.3,10834.4,10934.8,11037.1,11103.8,11230.1,11370.7,11625.1,11816.8,11988.4,12181.4,12367.7,12562.2,12813.7,12974.1,13205.4,13381.6,13648.9,13799.8,13908.5,14066.4,14233.2,14422.3,14569.7,14685.3,14668.4,14813,14843,14549.9,14383.9,14340.4,14384.1,14566.5,14681.1,14888.6,15057.7,15230.2,15238.4,15460.9,15587.1,15785.3,15973.9,16121.9,16227.9,16297.3,16440.7,16526.8,16727.5,16957.6,16984.3,17270,17522.1,17615.9,17649.3,17913.7,18064.7
2,Personal consumption expenditures,1706.5,1708.9,1767.7,1835.4,1890.7,1921.9,1961.2,1976.1,2014.4,2041.1,2089.2,2150.9,2190.6,2254.5,2324.3,2376.7,2422.8,2481.2,2519.7,2568.9,2643.9,2691.2,2764.7,2790.9,2834.7,2863,2929.7,2966.1,2998.3,3068.8,3133.5,3167.6,3249,3309,3378.3,3451.3,3506.1,3569.5,3625.6,3670.1,3754.5,3800.2,3863.4,3884.4,3890.2,3943.7,3989.6,4017.1,4117.7,4173.4,4245.4,4326.2,4368.5,4437.5,4506,4572,4640.9,4702.9,4773.1,4847.2,4883.3,4955,5020.5,5077.9,5153.8,5244.1,5298.3,5376.1,5456.7,5495.1,5603.5,5687.6,5745.9,5857.8,5952.8,6055.5,6129,6253,6357.2,6488.9,6642.7,6737.3,6845.1,6944.4,7020.4,7072.1,7103.4,7216.6,7251.4,7344.5,7433.1,7507.2,7593.5,7684.6,7845.5,7938.5,8076.8,8186.3,8312.7,8464.3,8573.1,8723.9,8888.1,8991.3,9134.3,9253.7,9374.3,9453.6,9591.9,9700.9,9799.2,9910,9974.4,10095.8,10124.9,9859.6,9770.2,9769.8,9890.8,9957.1,10044.5,10137.7,10233.4,10393.2,10523.5,10651.4,10754.5,10827.9,10956.2,11008.3,11073.6,11164.3,11271.8,11322.8,11417.7,11556.9,11640.3,11813,11949.1,12061.4,12055.5,12228.4,12358.6
3,    Goods,792,777.8,801.9,827.5,860.1,863.8,881.1,872.5,886.3,887.9,901.8,921.1,925.9,962.6,990.8,1015.8,1037.9,1063.6,1066.6,1086.6,1110.4,1126,1156.9,1157.1,1170.9,1174.7,1216.7,1220.1,1215.9,1251.4,1281.2,1276.7,1308.8,1326.8,1341.2,1372.5,1389,1421.1,1441.9,1443.2,1489.6,1479.3,1496.7,1499.7,1485.8,1497,1508.7,1498.2,1533.8,1548.2,1573.1,1597.9,1607,1634.2,1649.2,1679.1,1705.7,1726.8,1758.9,1794.8,1788.1,1803.9,1826.2,1843.9,1871,1915.9,1925.9,1957.9,1986.7,1974.5,2020.5,2045.4,2044.8,2089.5,2120.1,2180.5,2204.8,2272.7,2310.9,2358.6,2412.7,2436.8,2468.8,2493.1,2498.9,2509.7,2514.9,2577.5,2559.5,2587.8,2620.2,2626.8,2656.5,2676.3,2765.1,2788.3,2841.5,2873.2,2910.2,2976.1,3006.4,3057.4,3125.4,3131.9,3191.9,3222.3,3267.5,3261.4,3302.1,3351.1,3374.5,3418.6,3406.3,3458.8,3450.3,3187.5,3137,3148.4,3244.9,3263.5,3304.9,3325.6,3362.4,3458.4,3534,3588,3613,3650.9,3714.4,3717.2,3744.7,3780,3827.7,3810.5,3844,3864.8,3874.7,3951.5,3987.4,3980.1,3901.5,3978.1,4022.9
4,        Durable goods,232.1,211.9,225.4,236.2,246,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.4,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.3,626.9,642.5,652.2,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.2,737.7,769.2,785,825.2,819.9,854.8,871.2,876.3,920.9,901.9,911.7,915.8,926.8,919.5,923.9,995.9,974.9,979.7,1003.5,983.3,974,1007.8,1042.3,1046,1062.3,1071.7,1084.2,1101.1,1110.5,1140.6,1145.4,1112.4,1153.3,1147,1158,1166.1,1173.4,1184.9,1190.2,1190.1,1152.3,1139.8,1101.9,1015.1,1012,1004.8,1045.8,1030.7,1040.2,1064.7,1075.1,1102.8,1115.3,1112.3,1123.8,1149.8,1178.8,1181.6,1194.2,1212.9,1235.4,1235.6,1237.5,1242.8,1243.1,1279.1,1295.1,1303.5,1301.8,1326.4,1339.5
5,        Nondurable goods,559.9,565.9,576.5,591.3,614,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657,673,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771,779,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.1,1021.8,1024.4,1020.7,1037.7,1047.2,1061.1,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163,1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.1,1320.3,1335.1,1355.3,1384.8,1417.9,1439.7,1482.3,1491.8,1534.8,1557.2,1577.3,1572.1,1590.2,1591,1581.6,1584.6,1608.2,1616.6,1643.5,1682.5,1668.5,1722.9,1742.3,1779.2,1801.6,1825.9,1875,1895.9,1916.8,1980,2019.5,2038.6,2075.3,2109.5,2095.3,2128.8,2166.1,2184.3,2228.6,2253.9,2318.9,2348.4,2172.4,2124.9,2143.6,2199.1,2232.8,2264.7,2260.9,2287.3,2355.6,2418.7,2475.6,2489.2,2501.1,2535.6,2535.6,2550.6,2567.1,2592.3,2574.9,2606.5,2622,2631.6,2672.4,2692.2,2676.6,2599.7,2651.8,2683.4
6,    Services,914.5,931.1,965.8,1007.9,1030.6,1058.1,1080.2,1103.6,1128.1,1153.1,1187.4,1229.8,1264.7,1291.9,1333.5,1360.9,1384.9,1417.6,1453.1,1482.3,1533.5,1565.2,1607.8,1633.8,1663.9,1688.3,1713,1746,1782.4,1817.4,1852.3,1890.9,1940.2,1982.2,2037.2,2078.8,2117.1,2148.4,2183.6,2226.9,2264.9,2320.9,2366.7,2384.7,2404.4,2446.7,2480.9,2518.9,2583.8,2625.2,2672.3,2728.3,2761.5,2803.3,2856.9,2893,2935.2,2976.1,3014.2,3052.4,3095.2,3151.1,3194.2,3234,3282.8,3328.3,3372.4,3418.1,3470,3520.6,3583,3642.2,3701.2,3768.3,3832.7,3875.1,3924.2,3980.3,4046.3,4130.3,4230,4300.5,4376.3,4451.3,4521.5,4562.4,4588.5,4639.1,4691.8,4756.7,4813,4880.4,4937,5008.3,5080.4,5150.2,5235.3,5313.1,5402.5,5488.2,5566.7,5666.5,5762.6,5859.4,5942.4,6031.4,6106.8,6192.2,6289.7,6349.8,6424.7,6491.4,6568.1,6637,6674.6,6672.1,6633.3,6621.4,6645.9,6693.6,6739.7,6812,6871,6934.8,6989.6,7063.4,7141.4,7177,7241.8,7291.1,7328.9,7384.3,7444.1,7512.3,7573.7,7692.1,7765.6,7861.5,7961.7,8081.3,8153.9,8250.2,8335.7
7,Gross private domestic investment,554.6,519.3,495.1,551.5,619.4,609.8,652.3,643.4,588.3,593.6,593,549.2,565.5,613.8,652.3,718.5,790.9,818.9,838.9,831.7,809.9,827,822.2,859.5,863.5,855.2,835.8,842.1,871.2,874.6,876.5,946.5,908.6,934.5,942,962.8,1005.4,1001,996.5,995.9,1010.8,1014.8,1000.7,947.6,924.6,926.6,947.5,978.8,956.8,1013.1,1024.2,1058,1083.9,1094.5,1095.9,1153,1202.1,1265.1,1251.6,1307.2,1327.3,1303.8,1303.2,1335.6,1355.2,1418.6,1474.4,1480,1522,1589.9,1625.3,1645.3,1712.3,1694.8,1739.8,1794.4,1850.6,1845.8,1890.9,1949.4,1945.9,2071.8,2055.8,2061.6,1967.5,1967,1937.3,1842.7,1910,1925.6,1927.9,1936.5,1960.2,1970.5,2048.3,2132.8,2155.2,2259.5,2311.3,2380.8,2475.2,2469.5,2527.2,2636.5,2699.7,2697,2684.4,2641.6,2634.2,2671.9,2658.2,2610.6,2527,2493.3,2435.9,2243.1,1972.1,1825.9,1786.4,1928,1989.5,2092.7,2164.6,2156.5,2123.5,2212.7,2228.2,2395.2,2460.8,2534.8,2529.9,2521.3,2578.3,2620.4,2711.5,2749.9,2751.1,2841.6,2910.2,2937.2,2995.9,3025.5,3034.8
8,    Fixed investment,544.7,511.5,528.9,560.6,580.6,598.1,608.3,618.6,609.8,597.8,587.2,589.1,600.6,621.4,656.5,694.6,717.9,749.6,767.5,783.8,793.6,805.4,805.9,826.4,833.1,839.6,842.8,854.8,843.2,858.1,875.5,883.4,891.6,914.9,923.8,943.6,957.2,964.7,986.7,979.4,996.9,981.1,978.8,958.9,940.1,944.6,946.6,947.6,956.5,989.9,1003.7,1036.7,1048,1070.4,1089.3,1136.4,1156.7,1183.7,1198.4,1232,1266.1,1270.1,1291.9,1317.2,1348.3,1388,1423.4,1445.3,1472.2,1501.5,1557.4,1567.6,1607.2,1657.4,1687.4,1734.4,1767.2,1810.7,1850.4,1865.2,1929.8,1981.3,1998.5,2007.2,1998.2,1978.6,1967.5,1923.5,1910.2,1906.5,1902.6,1906.7,1929.2,1970.9,2040.1,2094.4,2106.3,2183.3,2249,2312.7,2375.7,2438.9,2509.3,2546.2,2625.2,2619.7,2607.3,2602.5,2614,2624.8,2609.6,2588.7,2547.2,2517.2,2454.7,2308.3,2117.8,2013.8,1992.3,1978.8,1977.5,2042.6,2043,2094.1,2097.2,2149.6,2243.1,2302.5,2395.3,2445.5,2455.9,2502.9,2541.8,2571.7,2606,2653.5,2708.4,2752.7,2821.8,2848.7,2868.6,2897.9,2934.2
