"U.S. Census Bureau"
"Source: U.S. International Trade in Goods and Services"
"Balance of Payment Goods and Services: United States"
"Seasonally Adjusted Exports [Millions of Dollars]"
"Period: 1992 to 2015"
"Data Extracted on: November 20, 2015 (4:48 pm)"

Period,Value
Jan-1992,50251
Feb-1992,51682
Mar-1992,50294
Apr-1992,50302
May-1992,50044
Jun-1992,51727
Jul-1992,52533
Aug-1992,50940
Sep-1992,51984
Oct-1992,53035
Nov-1992,52246
Dec-1992,51843
Jan-1993,52568
Feb-1993,52480
Mar-1993,53035
Apr-1993,53139
May-1993,54229
Jun-1993,52346
Jul-1993,52818
Aug-1993,53224
Sep-1993,53648
Oct-1993,55476
Nov-1993,54345
Dec-1993,55552
Jan-1994,55159
Feb-1994,53729
Mar-1994,58307
Apr-1994,56436
May-1994,57342
Jun-1994,58451
Jul-1994,58492
Aug-1994,60407
Sep-1994,60715
Oct-1994,59861
Nov-1994,61532
Dec-1994,62825
Jan-1995,63118
Feb-1995,63077
Mar-1995,64349
Apr-1995,65074
May-1995,65755
Jun-1995,64855
Jul-1995,66560
Aug-1995,67469
Sep-1995,68943
Oct-1995,68105
Nov-1995,68009
Dec-1995,69071
Jan-1996,68299
Feb-1996,69899
Mar-1996,69797
Apr-1996,70126
May-1996,71029
Jun-1996,71056
Jul-1996,69404
Aug-1996,70563
Sep-1996,70553
Oct-1996,73769
Nov-1996,74263
Dec-1996,72842
Jan-1997,72910
Feb-1997,75225
Mar-1997,77050
Apr-1997,77769
May-1997,77883
Jun-1997,78889
Jul-1997,80099
Aug-1997,78622
Sep-1997,79287
Oct-1997,79383
Nov-1997,78300
Dec-1997,79038
Jan-1998,79008
Feb-1998,77931
Mar-1998,78812
Apr-1998,77626
May-1998,77147
Jun-1998,76961
Jul-1998,76149
Aug-1998,75512
Sep-1998,77179
Oct-1998,79351
Nov-1998,79117
Dec-1998,78382
Jan-1999,78033
Feb-1999,77635
Mar-1999,78449
Apr-1999,78872
May-1999,78939
Jun-1999,79234
Jul-1999,80449
Aug-1999,81943
Sep-1999,83163
Oct-1999,83565
Nov-1999,84441
Dec-1999,85142
Jan-2000,85646
Feb-2000,86142
Mar-2000,87368
Apr-2000,88855
May-2000,88017
Jun-2000,90771
Jul-2000,90421
Aug-2000,92424
Sep-2000,92347
Oct-2000,91511
Nov-2000,91388
Dec-2000,90431
Jan-2001,90331
Feb-2001,90181
Mar-2001,88454
Apr-2001,86748
May-2001,87256
Jun-2001,85035
Jul-2001,82833
Aug-2001,83787
Sep-2001,77367
Oct-2001,77883
Nov-2001,77999
Dec-2001,77780
Jan-2002,78920
Feb-2002,78880
Mar-2002,79601
Apr-2002,81551
May-2002,81724
Jun-2002,82741
Jul-2002,83036
Aug-2002,83422
Sep-2002,82744
Oct-2002,82028
Nov-2002,83041
Dec-2002,81017
Jan-2003,82110
Feb-2003,82779
Mar-2003,82580
Apr-2003,81429
May-2003,82172
Jun-2003,84632
Jul-2003,85373
Aug-2003,84247
Sep-2003,86224
Oct-2003,88195
Nov-2003,90513
Dec-2003,90164
Jan-2004,90056
Feb-2004,93882
Mar-2004,96519
Apr-2004,95754
May-2004,97259
Jun-2004,94853
Jul-2004,96474
Aug-2004,96909
Sep-2004,98277
Oct-2004,99773
Nov-2004,99533
Dec-2004,102259
Jan-2005,103059
Feb-2005,103867
Mar-2005,104805
Apr-2005,106865
May-2005,106231
Jun-2005,106314
Jul-2005,106679
Aug-2005,107997
Sep-2005,106885
Oct-2005,109388
Nov-2005,110656
Dec-2005,113277
Jan-2006,115061
Feb-2006,115652
Mar-2006,118272
Apr-2006,118672
May-2006,120599
Jun-2006,122053
Jul-2006,119803
Aug-2006,122321
Sep-2006,123562
Oct-2006,125646
Nov-2006,127445
Dec-2006,128557
Jan-2007,130079
Feb-2007,128399
Mar-2007,133133
Apr-2007,132458
May-2007,135183
Jun-2007,136594
Jul-2007,137564
Aug-2007,140485
Sep-2007,141276
Oct-2007,144737
Nov-2007,146373
Dec-2007,147269
Jan-2008,150167
Feb-2008,152433
Mar-2008,152089
Apr-2008,156756
May-2008,158799
Jun-2008,163609
Jul-2008,165379
Aug-2008,162658
Sep-2008,153586
Oct-2008,151364
Nov-2008,142400
Dec-2008,132372
Jan-2009,125294
Feb-2009,127342
Mar-2009,125998
Apr-2009,124390
May-2009,126221
Jun-2009,128891
Jul-2009,130848
Aug-2009,131438
Sep-2009,136142
Oct-2009,140401
Nov-2009,141370
Dec-2009,144718
Jan-2010,144013
Feb-2010,145059
Mar-2010,149262
Apr-2010,147800
May-2010,152502
Jun-2010,152069
Jul-2010,155434
Aug-2010,156016
Sep-2010,156896
Oct-2010,162730
Nov-2010,164418
Dec-2010,167408
Jan-2011,168932
Feb-2011,167437
Mar-2011,175373
Apr-2011,177458
May-2011,177451
Jun-2011,175611
Jul-2011,180121
Aug-2011,180455
Sep-2011,182398
Oct-2011,181683
Nov-2011,179589
Dec-2011,180513
Jan-2012,180073
Feb-2012,182640
Mar-2012,186316
Apr-2012,185030
May-2012,185070
Jun-2012,185286
Jul-2012,184336
Aug-2012,183265
Sep-2012,188647
Oct-2012,182988
Nov-2012,185747
Dec-2012,189591
Jan-2013,188110
Feb-2013,188913
Mar-2013,186740
Apr-2013,188060
May-2013,187476
Jun-2013,189611
Jul-2013,189275
Aug-2013,190037
Sep-2013,190103
Oct-2013,193571
Nov-2013,195062
Dec-2013,192979
Jan-2014,192879
Feb-2014,189495
Mar-2014,194759
Apr-2014,195024
May-2014,197269
Jun-2014,195579
Jul-2014,196907
Aug-2014,197303
Sep-2014,195053
Oct-2014,197759
Nov-2014,196201
Dec-2014,194975
Jan-2015,189025
Feb-2015,185889
Mar-2015,186765
Apr-2015,189142
May-2015,187863
Jun-2015,187690
Jul-2015,188807
Aug-2015,184938
Sep-2015,187896
Oct-2015,"NA"
Nov-2015,"NA"
Dec-2015,"NA"
