"U.S. Census Bureau"
"Source: U.S. International Trade in Goods and Services"
"Balance of Payment Goods and Services: United States"
"Seasonally Adjusted Imports [Millions of Dollars]"
"Period: 1992 to 2015"
"Data Extracted on: November 20, 2015 (4:48 pm)"

Period,Value
Jan-1992,52277
Feb-1992,52513
Mar-1992,52935
Apr-1992,53411
May-1992,53963
Jun-1992,54551
Jul-1992,55313
Aug-1992,55395
Sep-1992,55515
Oct-1992,56556
Nov-1992,56214
Dec-1992,57446
Jan-1993,56439
Feb-1993,56076
Mar-1993,59813
Apr-1993,59584
May-1993,58598
Jun-1993,59275
Jul-1993,59200
Aug-1993,58805
Sep-1993,60679
Oct-1993,62069
Nov-1993,61361
Dec-1993,61271
Jan-1994,61365
Feb-1994,62974
Mar-1994,64772
Apr-1994,64323
May-1994,65070
Jun-1994,66831
Jul-1994,67230
Aug-1994,68710
Sep-1994,69026
Oct-1994,69019
Nov-1994,71147
Dec-1994,71281
Jan-1995,72442
Feb-1995,71894
Mar-1995,74057
Apr-1995,74682
May-1995,74845
Jun-1995,75478
Jul-1995,74247
Aug-1995,74173
Sep-1995,74867
Oct-1995,74219
Nov-1995,74523
Dec-1995,75342
Jan-1996,76764
Feb-1996,77217
Mar-1996,77553
Apr-1996,78870
May-1996,80288
Jun-1996,78516
Jul-1996,79536
Aug-1996,80919
Sep-1996,80748
Oct-1996,80404
Nov-1996,81531
Dec-1996,83317
Jan-1997,84179
Feb-1997,85001
Mar-1997,85433
Apr-1997,85855
May-1997,86277
Jun-1997,86043
Jul-1997,87132
Aug-1997,87365
Sep-1997,88556
Oct-1997,88472
Nov-1997,88086
Dec-1997,90327
Jan-1998,89784
Feb-1998,89495
Mar-1998,91692
Apr-1998,91566
May-1998,91349
Jun-1998,90208
Jul-1998,90098
Aug-1998,91540
Sep-1998,91999
Oct-1998,94166
Nov-1998,94290
Dec-1998,93127
Jan-1999,93980
Feb-1999,96421
Mar-1999,96350
Apr-1999,97125
May-1999,99168
Jun-1999,102349
Jul-1999,103870
Aug-1999,104920
Sep-1999,106063
Oct-1999,107096
Nov-1999,109665
Dec-1999,111479
Jan-2000,112733
Feb-2000,116071
Mar-2000,118523
Apr-2000,117655
May-2000,117830
Jun-2000,121737
Jul-2000,121848
Aug-2000,122459
Sep-2000,126365
Oct-2000,124734
Nov-2000,123996
Dec-2000,123885
Jan-2001,125148
Feb-2001,119530
Mar-2001,121186
Apr-2001,117966
May-2001,114702
Jun-2001,114175
Jul-2001,112914
Aug-2001,111958
Sep-2001,108508
Oct-2001,108722
Nov-2001,107735
Dec-2001,104618
Jan-2002,108275
Feb-2002,111167
Mar-2002,110425
Apr-2002,115217
May-2002,115645
Jun-2002,117641
Jul-2002,116686
Aug-2002,119165
Sep-2002,119263
Oct-2002,117199
Nov-2002,122665
Dec-2002,124311
Jan-2003,122850
Feb-2003,122142
Mar-2003,125935
Apr-2003,123417
May-2003,122951
Jun-2003,124253
Jul-2003,126735
Aug-2003,124049
Sep-2003,127930
Oct-2003,129466
Nov-2003,130355
Dec-2003,134228
Jan-2004,134408
Feb-2004,138204
Mar-2004,143003
Apr-2004,143232
May-2004,145428
Jun-2004,149555
Jul-2004,147767
Aug-2004,150225
Sep-2004,149765
Oct-2004,154734
Nov-2004,158352
Dec-2004,156760
Jan-2005,158620
Feb-2005,161321
Mar-2005,157424
Apr-2005,163980
May-2005,162495
Jun-2005,164574
Jul-2005,164742
Aug-2005,166385
Sep-2005,171808
Oct-2005,176528
Nov-2005,174746
Dec-2005,177643
Jan-2006,181741
Feb-2006,178503
Mar-2006,180846
Apr-2006,181516
May-2006,185444
Jun-2006,185534
Jul-2006,186328
Aug-2006,190144
Sep-2006,188497
Oct-2006,184636
Nov-2006,186020
Dec-2006,190149
Jan-2007,187734
Feb-2007,186877
Mar-2007,194930
Apr-2007,192972
May-2007,194470
Jun-2007,196114
Jul-2007,197478
Aug-2007,197490
Sep-2007,199070
Oct-2007,201274
Nov-2007,206090
Dec-2007,204422
Jan-2008,211306
Feb-2008,216781
Mar-2008,212154
Apr-2008,220284
May-2008,220950
Jun-2008,224279
Jul-2008,232221
Aug-2008,224766
Sep-2008,214086
Oct-2008,211555
Nov-2008,187123
Dec-2008,174835
Jan-2009,163136
Feb-2009,155109
Mar-2009,155161
Apr-2009,154095
May-2009,151593
Jun-2009,155258
Jul-2009,163637
Aug-2009,162705
Sep-2009,170632
Oct-2009,174228
Nov-2009,178573
Dec-2009,182700
Jan-2010,181167
Feb-2010,186093
Mar-2010,189028
Apr-2010,188664
May-2010,193834
Jun-2010,198626
Jul-2010,195847
Aug-2010,200937
Sep-2010,200937
Oct-2010,202727
Nov-2010,202180
Dec-2010,208223
Jan-2011,216055
Feb-2011,211155
Mar-2011,218851
Apr-2011,219684
May-2011,224671
Jun-2011,225043
Jul-2011,225810
Aug-2011,225423
Sep-2011,225703
Oct-2011,226645
Nov-2011,226633
Dec-2011,229973
Jan-2012,231056
Feb-2012,226210
Mar-2012,236533
Apr-2012,232284
May-2012,231041
Jun-2012,228746
Jul-2012,227706
Aug-2012,227372
Sep-2012,228711
Oct-2012,226029
Nov-2012,232414
Dec-2012,227661
Jan-2013,229699
Feb-2013,231666
Mar-2013,224264
Apr-2013,227824
May-2013,231340
Jun-2013,227239
Jul-2013,229039
Aug-2013,229998
Sep-2013,232533
Oct-2013,233475
Nov-2013,230826
Dec-2013,230428
Jan-2014,232341
Feb-2014,232330
Mar-2014,237881
Apr-2014,239295
May-2014,239340
Jun-2014,237950
Jul-2014,238317
Aug-2014,238578
Sep-2014,238239
Oct-2014,240513
Nov-2014,236222
Dec-2014,240524
Jan-2015,232613
Feb-2015,224427
Mar-2015,238928
Apr-2015,231399
May-2015,230398
Jun-2015,232896
Jul-2015,230615
Aug-2015,232956
Sep-2015,228708
Oct-2015,"NA"
Nov-2015,"NA"
Dec-2015,"NA"
