"Series Description","M1; Not seasonally adjusted","M2; Not seasonally adjusted"
"Unit:","Currency","Currency"
"Multiplier:","1e+09","1e+09"
"Currency:","USD","USD"
"Unique Identifier: ","H6/H6_M1/M1_N.M","H6/H6_M2/M2_N.M"
"Time Period","M1_N.M","M2_N.M"
1970-01,210.8,592.0
1970-02,202.0,583.4
1970-03,203.5,587.3
1970-04,208.1,592.9
1970-05,204.3,590.8
1970-06,206.9,597.5
1970-07,208.1,601.2
1970-08,208.0,603.0
1970-09,210.8,608.7
1970-10,212.3,614.0
1970-11,214.5,618.2
1970-12,220.1,627.8
1971-01,220.4,635.5
1971-02,214.3,638.0
1971-03,216.4,650.0
1971-04,221.4,663.5
1971-05,218.8,666.1
1971-06,222.9,675.9
1971-07,225.1,682.3
1971-08,223.6,683.7
1971-09,225.4,689.7
1971-10,226.6,695.6
1971-11,228.8,701.2
1971-12,234.5,711.2
1972-01,235.0,720.0
1972-02,228.9,722.2
1972-03,231.7,733.7
1972-04,236.9,743.8
1972-05,232.2,742.6
1972-06,236.1,753.2
1972-07,239.1,763.0
1972-08,238.7,767.0
1972-09,241.9,775.2
1972-10,244.2,783.6
1972-11,247.7,790.2
1972-12,256.1,803.1
1973-01,256.4,812.3
1973-02,248.4,810.1
1973-03,248.8,815.6
1973-04,254.0,825.4
1973-05,250.8,825.8
1973-06,256.4,837.2
1973-07,258.1,840.7
1973-08,255.6,837.4
1973-09,256.5,836.0
1973-10,258.3,839.3
1973-11,262.7,845.3
1973-12,270.2,856.5
1974-01,268.6,861.5
1974-02,261.1,859.8
1974-03,263.5,869.9
1974-04,268.5,878.6
1974-05,263.3,873.4
1974-06,268.3,881.9
1974-07,270.1,886.0
1974-08,268.1,882.9
1974-09,269.7,884.7
1974-10,271.7,890.4
1974-11,275.7,895.4
1974-12,281.8,903.5
1975-01,278.5,908.0
1975-02,269.9,908.7
1975-03,272.9,924.4
1975-04,277.7,941.1
1975-05,274.4,946.2
1975-06,282.3,966.9
1975-07,284.4,979.7
1975-08,282.7,982.4
1975-09,284.3,988.4
1975-10,284.9,995.6
1975-11,289.9,1004.8
1975-12,295.3,1017.8
1976-01,293.2,1028.3
1976-02,285.3,1034.2
1976-03,287.7,1047.7
1976-04,296.1,1066.9
1976-05,291.3,1070.3
1976-06,295.6,1080.8
1976-07,298.4,1091.6
1976-08,297.1,1097.3
1976-09,298.6,1108.4
1976-10,302.9,1125.1
1976-11,305.7,1135.0
1976-12,314.5,1153.5
1977-01,313.6,1167.5
1977-02,304.9,1169.9
1977-03,308.2,1185.3
1977-04,318.6,1206.6
1977-05,311.6,1205.5
1977-06,317.7,1219.8
1977-07,322.2,1232.9
1977-08,320.2,1235.3
1977-09,323.7,1244.7
1977-10,327.9,1255.9
1977-11,331.4,1260.2
1977-12,340.0,1273.0
1978-01,339.3,1282.3
1978-02,327.9,1276.8
1978-03,330.8,1288.2
1978-04,343.4,1307.4
1978-05,338.2,1304.8
1978-06,345.2,1319.0
1978-07,349.5,1330.1
1978-08,347.5,1331.4
1978-09,352.7,1344.7
1978-10,354.9,1355.3
1978-11,358.5,1358.1
1978-12,367.9,1370.8
1979-01,363.3,1375.2
1979-02,351.7,1369.3
1979-03,356.1,1384.0
1979-04,371.3,1408.4
1979-05,362.2,1402.7
1979-06,371.9,1422.5
1979-07,378.4,1439.3
1979-08,376.9,1444.3
1979-09,380.5,1454.5
1979-10,382.6,1463.6
1979-11,384.4,1466.4
1979-12,393.2,1479.0
1980-01,390.4,1486.2
1980-02,380.8,1486.3
1980-03,382.2,1497.2
1980-04,386.7,1507.7
1980-05,377.8,1504.2
1980-06,387.3,1527.4
1980-07,394.6,1549.1
1980-08,398.3,1560.7
1980-09,404.7,1573.1
1980-10,410.7,1588.5
1980-11,415.8,1599.0
1980-12,419.5,1604.8
1981-01,416.4,1610.6
1981-02,405.5,1610.5
1981-03,412.2,1633.2
1981-04,431.0,1664.5
1981-05,418.5,1655.4
1981-06,422.8,1667.1
1981-07,427.7,1685.1
1981-08,425.9,1694.6
1981-09,427.0,1706.4
1981-10,429.7,1726.4
1981-11,435.1,1741.0
1981-12,447.0,1760.3
1982-01,448.4,1772.8
1982-02,432.4,1765.3
1982-03,435.6,1781.7
1982-04,451.1,1807.9
1982-05,440.9,1804.9
1982-06,446.2,1822.7
1982-07,449.5,1835.2
1982-08,449.8,1846.3
1982-09,456.2,1859.5
1982-10,465.7,1876.1
1982-11,474.4,1890.6
1982-12,485.8,1914.3
1983-01,482.8,1964.3
1983-02,474.2,1986.2
1983-03,482.7,2009.9
1983-04,498.6,2034.0
1983-05,493.9,2032.1
1983-06,503.5,2052.1
1983-07,510.5,2070.0
1983-08,508.2,2072.8
1983-09,511.4,2081.4
1983-10,517.2,2102.4
1983-11,521.8,2117.9
1983-12,533.3,2134.3
1984-01,530.2,2145.3
1984-02,516.9,2148.0
1984-03,523.2,2169.4
1984-04,539.9,2196.4
1984-05,530.7,2191.8
1984-06,541.4,2214.7
1984-07,543.3,2228.4
1984-08,539.0,2229.2
1984-09,542.5,2243.1
1984-10,542.2,2260.1
1984-11,549.8,2286.6
1984-12,564.6,2318.8
1985-01,561.1,2339.9
1985-02,551.9,2343.7
1985-03,558.4,2360.8
1985-04,575.1,2380.0
1985-05,569.3,2376.8
1985-06,585.2,2413.8
1985-07,592.0,2435.1
1985-08,594.9,2442.9
1985-09,602.0,2453.1
1985-10,605.3,2466.8
1985-11,614.9,2482.5
1985-12,633.3,2504.6
1986-01,626.6,2511.4
1986-02,612.8,2502.6
1986-03,624.3,2528.1
1986-04,647.0,2565.4
1986-05,645.7,2571.9
1986-06,662.8,2606.1
1986-07,673.4,2633.3
1986-08,678.4,2646.7
1986-09,684.5,2662.8
1986-10,692.2,2685.8
1986-11,708.8,2706.4
1986-12,739.8,2741.9
1987-01,737.1,2754.6
1987-02,717.1,2736.3
1987-03,723.1,2749.1
1987-04,752.0,2780.3
1987-05,739.3,2761.2
1987-06,743.8,2774.9
1987-07,746.2,2786.7
1987-08,744.2,2789.0
1987-09,744.5,2795.0
1987-10,753.2,2813.2
1987-11,755.5,2824.1
1987-12,765.4,2840.8
1988-01,764.2,2859.6
1988-02,744.5,2861.2
1988-03,751.6,2889.0
1988-04,777.9,2927.7
1988-05,763.4,2913.2
1988-06,778.5,2937.5
1988-07,785.5,2955.5
1988-08,781.0,2952.3
1988-09,779.7,2952.5
1988-10,780.8,2964.5
1988-11,786.9,2985.2
1988-12,803.1,3003.0
1989-01,792.1,3001.3
1989-02,771.6,2984.9
1989-03,774.6,3001.4
1989-04,790.2,3025.5
1989-05,766.1,2998.3
1989-06,772.8,3024.9
1989-07,780.7,3057.9
1989-08,776.5,3073.3
1989-09,777.7,3088.5
1989-10,783.2,3111.5
1989-11,790.2,3138.0
1989-12,810.6,3167.5
1990-01,800.7,3172.2
1990-02,786.7,3172.3
1990-03,794.5,3194.3
1990-04,816.2,3221.3
1990-05,795.5,3188.1
1990-06,809.0,3212.1
1990-07,811.0,3225.7
1990-08,812.7,3239.8
1990-09,817.1,3250.1
1990-10,816.1,3254.8
1990-11,824.6,3266.3
1990-12,842.7,3286.0
1991-01,831.7,3289.9
1991-02,822.1,3296.7
1991-03,833.7,3327.6
1991-04,851.9,3349.6
1991-05,840.3,3330.3
1991-06,856.7,3349.7
1991-07,860.9,3354.2
1991-08,863.2,3351.1
1991-09,865.4,3347.2
1991-10,874.0,3353.4
1991-11,892.3,3370.7
1991-12,915.6,3385.8
1992-01,916.4,3382.3
1992-02,915.1,3389.0
1992-03,929.6,3403.8
1992-04,953.7,3417.9
1992-05,942.9,3386.9
1992-06,951.0,3387.6
1992-07,962.0,3391.9
1992-08,970.1,3395.2
1992-09,982.7,3399.9
1992-10,1000.8,3417.4
1992-11,1021.4,3431.8
1992-12,1045.6,3439.7
1993-01,1039.8,3421.8
1993-02,1021.9,3398.8
1993-03,1030.5,3408.5
1993-04,1057.4,3428.4
1993-05,1056.8,3423.1
1993-06,1071.8,3437.7
1993-07,1083.1,3440.6
1993-08,1088.1,3438.9
1993-09,1098.8,3441.4
1993-10,1111.6,3450.6
1993-11,1129.0,3472.6
1993-12,1153.3,3493.0
1994-01,1141.7,3477.5
1994-02,1123.8,3457.1
1994-03,1131.1,3474.6
1994-04,1152.2,3500.5
1994-05,1132.0,3471.9
1994-06,1141.8,3474.7
1994-07,1150.9,3488.5
1994-08,1144.1,3478.4
1994-09,1146.4,3473.4
1994-10,1147.9,3474.7
1994-11,1156.2,3488.3
1994-12,1174.5,3504.2
