Time Period,M1Supply,M2Supply,Imports,Exports,TradeBal,FedFunds,UnempRate,LaborForcePart,NumEmploy,NumUnEmploy,WeeksUnEmploy,
1954-07,,,,,,0.8,,,,,,
1954-08,,,,,,1.22,,,,,,
1954-09,,,,,,1.06,,,,,,
1954-10,,,,,,0.85,,,,,,
1954-11,,,,,,0.83,,,,,,
1954-12,,,,,,1.28,,,,,,
1955-01,,,,,,1.39,,,,,,
1955-02,,,,,,1.29,,,,,,
1955-03,,,,,,1.35,,,,,,
1955-04,,,,,,1.43,,,,,,
1955-05,,,,,,1.43,,,,,,
1955-06,,,,,,1.64,,,,,,
1955-07,,,,,,1.68,,,,,,
1955-08,,,,,,1.96,,,,,,
1955-09,,,,,,2.18,,,,,,
1955-10,,,,,,2.24,,,,,,
1955-11,,,,,,2.35,,,,,,
1955-12,,,,,,2.48,,,,,,
1956-01,,,,,,2.45,,,,,,
1956-02,,,,,,2.5,,,,,,
1956-03,,,,,,2.5,,,,,,
1956-04,,,,,,2.62,,,,,,
1956-05,,,,,,2.75,,,,,,
1956-06,,,,,,2.71,,,,,,
1956-07,,,,,,2.75,,,,,,
1956-08,,,,,,2.73,,,,,,
1956-09,,,,,,2.95,,,,,,
1956-10,,,,,,2.96,,,,,,
1956-11,,,,,,2.88,,,,,,
1956-12,,,,,,2.94,,,,,,
1957-01,,,,,,2.84,,,,,,
1957-02,,,,,,3,,,,,,
1957-03,,,,,,2.96,,,,,,
1957-04,,,,,,3,,,,,,
1957-05,,,,,,3,,,,,,
1957-06,,,,,,3,,,,,,
1957-07,,,,,,2.99,,,,,,
1957-08,,,,,,3.24,,,,,,
1957-09,,,,,,3.47,,,,,,
1957-10,,,,,,3.5,,,,,,
1957-11,,,,,,3.28,,,,,,
1957-12,,,,,,2.98,,,,,,
1958-01,,,,,,2.72,,,,,,
1958-02,,,,,,1.67,,,,,,
1958-03,,,,,,1.2,,,,,,
1958-04,,,,,,1.26,,,,,,
1958-05,,,,,,0.63,,,,,,
1958-06,,,,,,0.93,,,,,,
1958-07,,,,,,0.68,,,,,,
1958-08,,,,,,1.53,,,,,,
1958-09,,,,,,1.76,,,,,,
1958-10,,,,,,1.8,,,,,,
1958-11,,,,,,2.27,,,,,,
1958-12,,,,,,2.42,,,,,,
1959-01,,,,,,2.48,,,,,,
1959-02,,,,,,2.43,,,,,,
1959-03,,,,,,2.8,,,,,,
1959-04,,,,,,2.96,,,,,,
1959-05,,,,,,2.9,,,,,,
1959-06,,,,,,3.39,,,,,,
1959-07,,,,,,3.47,,,,,,
1959-08,,,,,,3.5,,,,,,
1959-09,,,,,,3.76,,,,,,
1959-10,,,,,,3.98,,,,,,
1959-11,,,,,,4,,,,,,
1959-12,,,,,,3.99,,,,,,
1960-01,,,,,,3.99,,,,,,
1960-02,,,,,,3.97,,,,,,
1960-03,,,,,,3.84,,,,,,
1960-04,,,,,,3.92,,,,,,
1960-05,,,,,,3.85,,,,,,
1960-06,,,,,,3.32,,,,,,
1960-07,,,,,,3.23,,,,,,
1960-08,,,,,,2.98,,,,,,
1960-09,,,,,,2.6,,,,,,
1960-10,,,,,,2.47,,,,,,
1960-11,,,,,,2.44,,,,,,
1960-12,,,,,,1.98,,,,,,
1961-01,,,,,,1.45,,,,,,
1961-02,,,,,,2.54,,,,,,
1961-03,,,,,,2.02,,,,,,
1961-04,,,,,,1.49,,,,,,
1961-05,,,,,,1.98,,,,,,
1961-06,,,,,,1.73,,,,,,
1961-07,,,,,,1.17,,,,,,
1961-08,,,,,,2,,,,,,
1961-09,,,,,,1.88,,,,,,
1961-10,,,,,,2.26,,,,,,
1961-11,,,,,,2.61,,,,,,
1961-12,,,,,,2.33,,,,,,
1962-01,,,,,,2.15,,,,,,
1962-02,,,,,,2.37,,,,,,
1962-03,,,,,,2.85,,,,,,
1962-04,,,,,,2.78,,,,,,
1962-05,,,,,,2.36,,,,,,
1962-06,,,,,,2.68,,,,,,
1962-07,,,,,,2.71,,,,,,
1962-08,,,,,,2.93,,,,,,
1962-09,,,,,,2.9,,,,,,
1962-10,,,,,,2.9,,,,,,
1962-11,,,,,,2.94,,,,,,
1962-12,,,,,,2.93,,,,,,
1963-01,,,,,,2.92,,,,,,
1963-02,,,,,,3,,,,,,
1963-03,,,,,,2.98,,,,,,
1963-04,,,,,,2.9,,,,,,
1963-05,,,,,,3,,,,,,
1963-06,,,,,,2.99,,,,,,
1963-07,,,,,,3.02,,,,,,
1963-08,,,,,,3.49,,,,,,
1963-09,,,,,,3.48,,,,,,
1963-10,,,,,,3.5,,,,,,
1963-11,,,,,,3.48,,,,,,
1963-12,,,,,,3.38,,,,,,
1964-01,,,,,,3.48,,,,,,
1964-02,,,,,,3.48,,,,,,
1964-03,,,,,,3.43,,,,,,
1964-04,,,,,,3.47,,,,,,
1964-05,,,,,,3.5,,,,,,
1964-06,,,,,,3.5,,,,,,
1964-07,,,,,,3.42,,,,,,
1964-08,,,,,,3.5,,,,,,
1964-09,,,,,,3.45,,,,,,
1964-10,,,,,,3.36,,,,,,
1964-11,,,,,,3.52,,,,,,
1964-12,,,,,,3.85,,,,,,
1965-01,,,,,,3.9,,,,,,
1965-02,,,,,,3.98,,,,,,
1965-03,,,,,,4.04,,,,,,
1965-04,,,,,,4.09,,,,,,
1965-05,,,,,,4.1,,,,,,
1965-06,,,,,,4.04,,,,,,
1965-07,,,,,,4.09,,,,,,
1965-08,,,,,,4.12,,,,,,
1965-09,,,,,,4.01,,,,,,
1965-10,,,,,,4.08,,,,,,
1965-11,,,,,,4.1,,,,,,
1965-12,,,,,,4.32,,,,,,
1966-01,,,,,,4.42,,,,,,
1966-02,,,,,,4.6,,,,,,
1966-03,,,,,,4.65,,,,,,
1966-04,,,,,,4.67,,,,,,
1966-05,,,,,,4.9,,,,,,
1966-06,,,,,,5.17,,,,,,
1966-07,,,,,,5.3,,,,,,
1966-08,,,,,,5.53,,,,,,
1966-09,,,,,,5.4,,,,,,
1966-10,,,,,,5.53,,,,,,
1966-11,,,,,,5.76,,,,,,
1966-12,,,,,,5.4,,,,,,
1967-01,,,,,,4.94,,,,,,
1967-02,,,,,,5,,,,,,
1967-03,,,,,,4.53,,,,,,
1967-04,,,,,,4.05,,,,,,
1967-05,,,,,,3.94,,,,,,
1967-06,,,,,,3.98,,,,,,
1967-07,,,,,,3.79,,,,,,
1967-08,,,,,,3.9,,,,,,
1967-09,,,,,,3.99,,,,,,
1967-10,,,,,,3.88,,,,,,
1967-11,,,,,,4.13,,,,,,
1967-12,,,,,,4.51,,,,,,
1968-01,,,,,,4.6,,,,,,
1968-02,,,,,,4.71,,,,,,
1968-03,,,,,,5.05,,,,,,
1968-04,,,,,,5.76,,,,,,
1968-05,,,,,,6.11,,,,,,
1968-06,,,,,,6.07,,,,,,
1968-07,,,,,,6.02,,,,,,
1968-08,,,,,,6.03,,,,,,
1968-09,,,,,,5.78,,,,,,
1968-10,,,,,,5.91,,,,,,
1968-11,,,,,,5.82,,,,,,
1968-12,,,,,,6.02,,,,,,
1969-01,,,,,,6.3,,,,,,
1969-02,,,,,,6.61,,,,,,
1969-03,,,,,,6.79,,,,,,
1969-04,,,,,,7.41,,,,,,
1969-05,,,,,,8.67,,,,,,
1969-06,,,,,,8.9,,,,,,
1969-07,,,,,,8.61,,,,,,
1969-08,,,,,,9.19,,,,,,
1969-09,,,,,,9.15,,,,,,
1969-10,,,,,,9,,,,,,
1969-11,,,,,,8.85,,,,,,
1969-12,,,,,,8.97,,,,,,
1970-01,210.8,592,,,,8.98,,,,,,
1970-02,202,583.4,,,,8.98,,,,,,
1970-03,203.5,587.3,,,,7.76,,,,,,
1970-04,208.1,592.9,,,,8.1,,,,,,
1970-05,204.3,590.8,,,,7.94,,,,,,
1970-06,206.9,597.5,,,,7.6,,,,,,
1970-07,208.1,601.2,,,,7.21,,,,,,
1970-08,208,603,,,,6.61,,,,,,
1970-09,210.8,608.7,,,,6.29,,,,,,
1970-10,212.3,614,,,,6.2,,,,,,
1970-11,214.5,618.2,,,,5.6,,,,,,
1970-12,220.1,627.8,,,,4.9,,,,,,
1971-01,220.4,635.5,,,,4.14,,,,,,
1971-02,214.3,638,,,,3.72,,,,,,
1971-03,216.4,650,,,,3.71,,,,,,
1971-04,221.4,663.5,,,,4.15,,,,,,
1971-05,218.8,666.1,,,,4.63,,,,,,
1971-06,222.9,675.9,,,,4.91,,,,,,
1971-07,225.1,682.3,,,,5.31,,,,,,
1971-08,223.6,683.7,,,,5.56,,,,,,
1971-09,225.4,689.7,,,,5.55,,,,,,
1971-10,226.6,695.6,,,,5.2,,,,,,
1971-11,228.8,701.2,,,,4.91,,,,,,
1971-12,234.5,711.2,,,,4.14,,,,,,
1972-01,235,720,,,,3.5,,,,,,
1972-02,228.9,722.2,,,,3.29,,,,,,
1972-03,231.7,733.7,,,,3.83,,,,,,
1972-04,236.9,743.8,,,,4.17,,,,,,
1972-05,232.2,742.6,,,,4.27,,,,,,
1972-06,236.1,753.2,,,,4.46,,,,,,
1972-07,239.1,763,,,,4.55,,,,,,
1972-08,238.7,767,,,,4.8,,,,,,
1972-09,241.9,775.2,,,,4.87,,,,,,
1972-10,244.2,783.6,,,,5.04,,,,,,
1972-11,247.7,790.2,,,,5.06,,,,,,
1972-12,256.1,803.1,,,,5.33,,,,,,
1973-01,256.4,812.3,,,,5.94,,,,,,
1973-02,248.4,810.1,,,,6.58,,,,,,
1973-03,248.8,815.6,,,,7.09,,,,,,
1973-04,254,825.4,,,,7.12,,,,,,
1973-05,250.8,825.8,,,,7.84,,,,,,
1973-06,256.4,837.2,,,,8.49,,,,,,
1973-07,258.1,840.7,,,,10.4,,,,,,
1973-08,255.6,837.4,,,,10.5,,,,,,
1973-09,256.5,836,,,,10.78,,,,,,
1973-10,258.3,839.3,,,,10.01,,,,,,
1973-11,262.7,845.3,,,,10.03,,,,,,
1973-12,270.2,856.5,,,,9.95,,,,,,
1974-01,268.6,861.5,,,,9.65,,,,,,
1974-02,261.1,859.8,,,,8.97,,,,,,
1974-03,263.5,869.9,,,,9.35,,,,,,
1974-04,268.5,878.6,,,,10.51,,,,,,
1974-05,263.3,873.4,,,,11.31,,,,,,
1974-06,268.3,881.9,,,,11.93,,,,,,
1974-07,270.1,886,,,,12.92,,,,,,
1974-08,268.1,882.9,,,,12.01,,,,,,
1974-09,269.7,884.7,,,,11.34,,,,,,
