TimePer,GDP,GDPROC
1980_Q1,2796.5,0
1980_Q2,2799.9,0.121580547
1980_Q3,2860,2.146505232
1980_Q4,2993.5,4.667832168
1981_Q1,3131.8,4.620010022
1981_Q2,3167.3,1.133533431
1981_Q3,3261.2,2.964670224
1981_Q4,3283.5,0.683797375
1982_Q1,3273.8,-0.295416476
1982_Q2,3331.3,1.756368746
1982_Q3,3367.1,1.07465554
1982_Q4,3407.8,1.208755309
1983_Q1,3480.3,2.127472269
1983_Q2,3583.8,2.973881562
1983_Q3,3692.3,3.027512696
1983_Q4,3796.1,2.811255857
1984_Q1,3912.8,3.07420774
1984_Q2,4015,2.611940299
1984_Q3,4087.4,1.803237858
1984_Q4,4147.6,1.472818907
1985_Q1,4237,2.155463401
1985_Q2,4302.3,1.541184801
1985_Q3,4394.6,2.145364108
1985_Q4,4453.1,1.331179174
1986_Q1,4516.3,1.419236038
1986_Q2,4555.2,0.861324536
1986_Q3,4619.6,1.41376888
1986_Q4,4669.4,1.078015413
1987_Q1,4736.2,1.430590654
1987_Q2,4821.5,1.801021916
1987_Q3,4900.5,1.638494245
1987_Q4,5022.7,2.4936231
1988_Q1,5090.6,1.351862544
1988_Q2,5207.7,2.300318234
1988_Q3,5299.5,1.762774353
1988_Q4,5412.7,2.136050571
1989_Q1,5527.4,2.119090288
1989_Q2,5628.4,1.827260557
1989_Q3,5711.6,1.478217611
1989_Q4,5763.4,0.906926255
1990_Q1,5890.8,2.210500746
1990_Q2,5974.7,1.42425477
1990_Q3,6029.5,0.917200864
1990_Q4,6023.3,-0.102827763
1991_Q1,6054.9,0.524629356
1991_Q2,6143.6,1.464929231
1991_Q3,6218.4,1.217527183
1991_Q4,6279.3,0.979351602
1992_Q1,6380.8,1.616422213
1992_Q2,6492.3,1.747429789
1992_Q3,6586.5,1.450949586
1992_Q4,6697.6,1.686783572
1993_Q1,6748.2,0.755494505
1993_Q2,6829.6,1.206247592
1993_Q3,6904.2,1.092304088
1993_Q4,7032.8,1.862634339
1994_Q1,7136.3,1.471675577
1994_Q2,7269.8,1.870717318
1994_Q3,7352.3,1.13483177
1994_Q4,7476.7,1.691987541
1995_Q1,7545.3,0.917517086
1995_Q2,7604.9,0.789895697
1995_Q3,7706.5,1.335980749
1995_Q4,7799.5,1.206773503
1996_Q1,7893.1,1.200076928
1996_Q2,8061.5,2.133509014
1996_Q3,8159,1.209452335
1996_Q4,8287.1,1.570045349
1997_Q1,8402.1,1.387698954
1997_Q2,8551.9,1.782887611
1997_Q3,8691.8,1.635893778
1997_Q4,8788.3,1.110241837
1998_Q1,8889.7,1.153806766
1998_Q2,8994.7,1.181142221
1998_Q3,9146.5,1.687660511
1998_Q4,9325.7,1.959219374
1999_Q1,9447.1,1.301778955
1999_Q2,9557,1.163319961
1999_Q3,9712.3,1.624986921
1999_Q4,9926.1,2.201332331
2000_Q1,10031,1.056809825
2000_Q2,10278.3,2.465357392
2000_Q3,10357.4,0.769582519
2000_Q4,10472.3,1.109351768
2001_Q1,10508.1,0.341854225
2001_Q2,10638.4,1.239995813
2001_Q3,10639.5,0.010339901
2001_Q4,10701.3,0.580854363
2002_Q1,10834.4,1.243774121
2002_Q2,10934.8,0.926677989
2002_Q3,11037.1,0.935545232
2002_Q4,11103.8,0.604325412
2003_Q1,11230.1,1.137448441
2003_Q2,11370.7,1.251992413
2003_Q3,11625.1,2.237329276
2003_Q4,11816.8,1.649018073
2004_Q1,11988.4,1.452169792
2004_Q2,12181.4,1.60988956
2004_Q3,12367.7,1.529380859
2004_Q4,12562.2,1.572644873
2005_Q1,12813.7,2.00203786
2005_Q2,12974.1,1.251785199
2005_Q3,13205.4,1.782782621
2005_Q4,13381.6,1.334302634
2006_Q1,13648.9,1.997518981
2006_Q2,13799.8,1.1055836
2006_Q3,13908.5,0.787692575
2006_Q4,14066.4,1.135276989
2007_Q1,14233.2,1.18580447
2007_Q2,14422.3,1.328583874
2007_Q3,14569.7,1.022028387
2007_Q4,14685.3,0.793427456
2008_Q1,14668.4,-0.115081067
2008_Q2,14813,0.985792588
2008_Q3,14843,0.202524809
2008_Q4,14549.9,-1.974668194
2009_Q1,14383.9,-1.140901312
2009_Q2,14340.4,-0.302421457
2009_Q3,14384.1,0.30473348
2009_Q4,14566.5,1.268066824
2010_Q1,14681.1,0.78673669
2010_Q2,14888.6,1.413381831
2010_Q3,15057.7,1.135768306
2010_Q4,15230.2,1.145593284
2011_Q1,15238.4,0.053840396
2011_Q2,15460.9,1.460127047
2011_Q3,15587.1,0.816252611
2011_Q4,15785.3,1.271564306
2012_Q1,15973.9,1.194782488
2012_Q2,16121.9,0.926511372
2012_Q3,16227.9,0.657490742
2012_Q4,16297.3,0.427658539
2013_Q1,16440.7,0.879900352
2013_Q2,16526.8,0.523700329
2013_Q3,16727.5,1.214391171
2013_Q4,16957.6,1.375579136
2014_Q1,16984.3,0.157451526
2014_Q2,17270,1.682141743
2014_Q3,17522.1,1.459756804
2014_Q4,17615.9,0.535323962
2015_Q1,17649.3,0.18960144
2015_Q2,17913.7,1.498076411
2015_Q3,18064.7,0.842930271
2015_Q4,,
2016_Q1,,
2016_Q2,,
2016_Q3,,
2016_Q4,,
