TimePer,TutPriNon4Yr,TutPriNon4YrChng,TutPub4Yr,TutPub4YrChng,TutPub2Yr,TutPub2YrChng,AllPriNon4Yr,AllPriNon4YrChng,AllPub4Yr,AllPub4YrChng,SamSize,IL20,IL40,IL60,IL80,IL95,AI20,AI40,AI60,AI80,AL100,ALT5,MI20,MI40,MI60,MI80,MI100,MIT5,Revenue,Spending,SurDef,SocialSec,USPS,Total,PubDebt,PerRev,PerSpend,PerSurDef,PerPubDebt,IncomeTax,PayrollTax,CorpIncomeTax,ExciseTax,EstateGiftTax,CustomsDuties,MiscTax,DiscSpend,MandSpend,MandOffset,NetInterest,Defense,NonDefense,SocialSec,Medicare,Medicaid,IncomeSec,OtherRetDis,Other
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.817,118.228,-1.605,0.194,0,-1.411,260.778,16.437,16.635,-0.226,36.693,48.792,22.242,25.461,14.57,2.716,1.442,1.594,77.793,39.7,-7.856,8.591,51,26.793,17.077,0,0.272,5.428,7.914,9.009
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.835,134.532,-3.068,-0.63,0,-3.698,263.714,16.732,17.205,-0.392,33.725,55.446,25.546,30.073,13.062,3.066,1.767,1.875,90.143,43.387,-8.384,9.386,59,31.143,20.257,0,0.77,5.085,8.428,8.847
1967,,,,,,,,,,,60813,18599,36268,51476,73404,117793,4,10.8,17.3,24.2,43.6,17.2,9918,27481,43878,61390,110479,174270,148.822,157.464,-12.62,3.977,0,-8.643,266.626,17.755,18.786,-1.506,31.809,61.526,32.619,33.971,13.719,2.978,1.901,2.108,106.473,50.911,-10.188,10.268,72,34.473,21.292,3.171701,1.173,5.132,9.286,10.856299
1968,,,,,,,,,,,62214,19824,37584,53870,75693,118419,4.2,11.1,17.6,24.5,42.6,16.3,10772,28888,45815,63912,111056,169791,152.973,178.134,-27.742,2.581,0,-25.161,289.545,17.01,19.808,-3.085,32.197,68.726,33.923,28.665,14.079,3.051,2.038,2.491,117.978,59.688,-10.622,11.09,82.2,35.778,23.293,5.125527,1.806,5.937,10.101,13.425473
1969,,,,,,,,,,,63401,20417,39177,56659,79383,124500,4.1,10.9,17.5,24.5,43,16.6,11033,29789,47601,66673,117191,180381,186.882,183.64,-0.507,3.749,0,3.242,278.108,19.025,18.695,-0.052,28.312,87.249,39.015,36.678,15.222,3.491,2.319,2.908,117.318,64.623,-11,12.699,82.7,34.618,26.7,6.298862,2.285,6.498,11.067,11.774138
1970,,,,,,,,,,,64778,20073,38454,55931,79798,126139,4.1,10.8,17.4,24.5,43.3,16.6,10841,29369,47294,66663,118019,181146,192.807,195.649,-8.694,5.852,0,-2.842,283.198,18.379,18.65,-0.829,26.995,90.412,44.362,32.829,15.705,3.644,2.43,3.425,120.254,72.506,-11.491,14.38,81.9,38.354,29.647,6.784025,2.727,8.176,12.369,12.802975
1971,10742,0,2510,0,1126,0,17175,0,8239,0,66676,19815,37773,55585,79259,125865,4.1,10.6,17.3,24.5,43.5,16.7,10909,28832,46744,66457,117755,180616,187.139,210.172,-26.052,3.019,0,-23.033,303.037,16.719,18.777,-2.328,27.074,86.23,47.325,26.785,16.614,3.735,2.591,3.859,122.531,86.875,-14.075,14.841,79.009,43.522,35.131,7.478012,3.362,13.414,14.457,13.032988
1972,11095,3.3,2865,14.2,1327,17.9,17589,2.4,8851,7.4,68251,20503,39488,58362,83533,134437,4.1,10.4,17,24.5,43.9,17,11559,29856,48724,69949,125578,194640,207.309,230.681,-26.068,3.05,-0.355,-23.373,322.377,17,18.917,-2.138,26.436,94.737,52.574,32.166,15.477,5.436,3.287,3.632,128.544,100.775,-14.116,15.478,79.338,49.206,39.364,8.364065,4.601,16.417,16.249,15.779935
1973,11017,-0.7,2769,-3.3,1476,11.2,17347,-1.4,8598,-2.9,69859,20949,40283,59602,85816,137929,4.2,10.4,17,24.5,43.9,16.9,12097,30416,49889,71768,128413,197796,230.799,245.707,-15.246,0.495,-0.157,-14.908,340.91,17.02,18.12,-1.124,25.14,103.246,63.115,36.153,16.26,4.917,3.188,3.92,130.394,115.98,-18.016,17.349,77.095,53.299,48.176,9.039616,4.6,14.45,18.461,21.253384
1974,10290,-6.6,2473,-10.7,1338,-9.3,16503,-4.9,7952,-7.5,71163,21050,39046,57697,83736,132536,4.3,10.6,17,24.6,43.5,16.5,12053,29957,48282,69728,123542,187783,263.224,269.359,-7.198,1.836,-0.773,-6.135,343.699,17.711,18.124,-0.484,23.126,118.952,75.071,38.62,16.844,5.035,3.334,5.368,138.207,130.853,-21.15,21.449,80.72,57.487,54.99,10.680703,5.818,17.399,20.853,21.112297
