Alabama	AL	-1	9	Open primary	3/1/2016	60	53	7	3/1/2016	50	50	0	-1	https://www.alabamavotes.gov/GetRegForm.aspx?m=voters
Alaska	AK	-1	3	Hybrid primary	8/15/2016	20	16	4	8/15/2016	28	28	0	-1	https://www.elections.alaska.gov/vi_vr_how.php
Arizona	AZ	-1	11	Hybrid primary	5/2/2016	85	75	10	5/2/2016	9	9	0	-1	http://www.azsos.gov/elections/voting-election/register-vote-or-update-your-current-voter-information
Arkansas	AR	-1	6	Open primary	3/1/2016	37	32	5	3/1/2016	58	58	0	-1	http://www.sos.arkansas.gov/elections/pages/voterregistration.aspx
California	CA	-1	9	Top two primary	6/7/2016	546	475	71	6/7/2016	40	40	0	-1	http://registertovote.ca.gov/
Colorado	CO	-1	9	Caucus 	3/1/2016	79	66	13	3/1/2016	172	172	0	-1	http://www.sos.state.co.us/pubs/elections/vote/VoterHome.html
Connecticut	CT	-1	7	Hybrid primary	4/26/2016	70	55	15	4/26/2016	28	28	0	-1	https://voterregistration.ct.gov/OLVR/regStep1Back.do
Delaware	DE	-1	3	Closed primary	4/26/2016	31	21	10	4/26/2016	16	16	0	-1	http://elections.delaware.gov/services/voter/placestoregister.shtml
Florida	FL	-1	29	Closed primary	3/16/2016	246	214	32	3/16/2016	99	99	0	-1	http://dos.myflorida.com/elections/for-voters/voter-registration/register-to-vote-or-update-your-information/
Georgia	GA	-1	16	Open Primary	3/1/2016	117	102	15	3/1/2016	76	76	0	-1	https://registertovote.sos.ga.gov/GAOLVR/welcome.do#no-back-button
Hawaii	HI	-1	4	Open primary	3/26/2016	34	25	9	3/26/2016	19	19	0	-1	http://elections.hawaii.gov/frequently-asked-questions/online-voter-registration/
Idaho	ID	-1	4	Hybrid primary	3/8/2016	27	23	4	3/8/2016	32	32	0	-1	http://www.idahovotes.gov/voter_info.shtml
Illinois	IL	-1	20	Hybrid primary	3/15/2016	182	156	26	3/15/2016	69	69	0	-1	https://www.elections.il.gov/votinginformation/register.aspx
Indiana	IN	-1	11	Hybrid primary	5/6/2016	92	83	9	5/6/2016	57	57	0	-1	https://indianavoters.in.gov/PublicSite/PublicMain.aspx
Iowa	IA	-1	6	Hybrid primary	2/1/2016	52	44	8	2/1/2016	30	30	0	-1	https://sos.iowa.gov/elections/voterinformation/voterregistration.html
Kansas	KS	-1	6	Closed primary	6/12/2016	37	33	4	6/12/2016	40	40	0	-1	http://www.kssos.org/forms/elections/voterregistration.pdf
Kentucky	KY	-1	8	Closed primary	5/17/2016	60	55	5	5/17/2016	46	46	0	-1	http://elect.ky.gov/registertovote/pages/default.aspx
Louisiana	LA	-1	8	Top two primary	3/5/2016	59	51	8	3/5/2016	46	46	0	-1	http://www.sos.la.gov/electionsandvoting/pages/onlinevoterregistration.aspx
Maine	ME	-1	11	Closed primary	6/14/2016	30	25	5	6/14/2016	23	23	0	-1	http://www.maine.gov/sos/cec/elec/voter-info/voterguide.html
Maryland	MD	-1	10	Hybrid primary	4/14/2016	118	95	23	4/14/2016	38	38	0	-1	http://www.elections.state.md.us/voter_registration/
Massachusetts	MA	-1	11	Hybrid primary	3/1/2016	116	91	25	3/1/2016	42	42	0	-1	http://www.sec.state.ma.us/ele/eleifv/howreg.htm
Michigan	MI	-1	16	Open primary	3/8/2016	147	130	17	3/8/2016	59	59	0	-1	http://www.michigan.gov/sos/0,1607,7-127-1633_8716_8726_47669---,00.html
Minnesota	MN	-1	10	Open primary	3/1/2016	93	77	16	3/1/2016	38	38	0	-1	https://mnvotes.sos.state.mn.us/voterregistration/voterregistrationstep1.aspx
