A000370,Adams,Alma
A000055,Aderholt,Robert
A000367,Amash,Justin
A000369,Amodei,Mark
B001256,Bachmann,Michele
B000013,Bachus,Spencer
B001279,Barber,Ron
B001269,Barletta,Lou
B001282,Barr,Garland
B001252,Barrow,John
B000213,Barton,Joe
B001270,Bass,Karen
B001281,Beatty,Joyce
B000287,Becerra,Xavier
B001271,Benishek,Dan
B001280,Bentivolio,Kerry
B001287,Bera,Ami
B001257,Bilirakis,Gus
B001250,Bishop,Rob
B000490,Bishop,Sanford
B001242,Bishop,Timothy
B001273,Black,Diane
B001243,Blackburn,Marsha
B000574,Blumenauer,Earl
B000589,Boehner,John
B001278,Bonamici,Suzanne
B001245,Bordallo,Madeleine
B001255,Boustany,Charles
B000755,Brady,Kevin
B001227,Brady,Robert
B001259,Braley,Bruce
B001290,Brat,David
B001283,Bridenstine,Jim
B001274,Brooks,Mo
B001284,Brooks,Susan
B001262,Broun,Paul
B000911,Brown,Corrine
B001285,Brownley,Julia
B001260,Buchanan,Vern
B001275,Bucshon,Larry
B001248,Burgess,Michael
B001286,Bustos,Cheri
B001251,Butterfield,George
B001289,Byrne,Bradley
C000059,Calvert,Ken
C000071,Camp,Dave
C001064,Campbell,John
C001047,Capito,Shelley
C001036,Capps,Lois
C001037,Capuano,Michael
C001083,Carney,John
C001051,Carter,John
C001090,Cartwright,Matthew
C001075,Cassidy,Bill
C001066,Castor,Kathy
C001091,Castro,Joaquin
C000266,Chabot,Steve
C001076,Chaffetz,Jason
C000380,Christensen,Donna
C001080,Chu,Judy
C001084,Cicilline,David
C001101,Clark,Katherine
C001067,Clarke,Yvette
C001102,Clawson,Curtis
C001049,Clay,Wm.
C001061,Cleaver,Emanuel
C000537,Clyburn,James
C000556,Coble,Howard
C001077,Coffman,Mike
C001068,Cohen,Steve
C001053,Cole,Tom
C001092,Collins,Chris
C001093,Collins,Doug
C001062,Conaway,K.
C001078,Connolly,Gerald
C000714,Conyers,John
C001094,Cook,Paul
C000754,Cooper,Jim
