A000022,94.4,7,217,9.6,33,19,8.5
A000055,93.6,19,264,3.8,19,27,9.5
A000069,94.4,32,182,2.0,39,9,4.2
A000210,94.1,34,398,3.0,26,23,5.3
A000358,96.0,10,166,21.1,15,10,5.7
A000360,87.4,53,319,3.6,13,16,4.3
A000361,93.0,12,184,2.7,13,18,9.2
A000362,64.7,16,197,0.6,9,14,6.6
A000365,93.7,2,172,4.8,7,12,6.9
A000366,94.9,6,121,0.0,5,15,11.8
A000367,77.7,15,162,0.0,5,5,2.8
A000368,84.9,70,575,0.3,5,22,3.4
A000369,94.6,41,592,6.9,5,25,3.9
A000370,99.0,9,127,10.1,2,2,1.5
A000371,92.0,3,134,5.2,1,3,2.2
A000372,97.8,2,155,0.4,1,3,1.9
A000373,78.7,2,208,1.0,1,7,3.3
A000374,96.4,10,168,0.3,1,2,1.1
B000013,93.5,12,430,3.2,23,35,7.9
B000208,89.5,8,272,2.7,23,13,4.6
B000213,93.7,18,361,4.8,31,39,10.3
B000220,83.4,9,94,2.2,21,14,13.6
B000243,87.5,84,143,0.2,41,5,2.2
B000287,96.0,8,213,3.9,23,31,14.0
B000410,95.2,18,210,6.3,33,23,10.1
B000461,90.4,25,213,4.0,21,19,8.0
B000468,95.3,54,109,0.8,33,5,3.1
B000490,84.7,33,527,4.4,23,37,6.6
B000574,93.6,78,1291,4.8,20,34,2.5
B000575,87.6,56,656,2.2,19,31,4.4
B000589,91.3,3,3,0.0,25,0,0.0
B000652,83.8,14,309,1.0,19,13,4.0
B000711,95.6,151,628,6.2,33,21,2.7
B000755,95.4,49,379,4.1,19,42,9.8
B000911,94.9,20,808,5.3,23,42,5.1
B000944,95.0,209,694,1.1,23,25,2.8
B001135,91.5,73,443,1.9,21,23,4.5
B001149,93.6,43,358,10.4,33,15,3.7
B001227,96.6,11,627,2.5,18,36,5.6
B001228,93.1,11,99,4.8,18,18,16.4
B001230,95.1,59,610,2.2,17,16,2.4
B001231,90.6,13,271,1.8,17,14,4.9
B001232,89.0,31,143,0.8,17,16,9.2
B001234,92.2,37,240,7.6,17,21,7.6
B001236,92.0,39,550,2.1,15,17,2.9
B001242,94.5,40,577,2.5,13,45,7.3
B001243,95.2,71,876,1.7,13,35,3.7
B001244,93.5,34,208,4.4,13,17,7.0
B001245,N/A,25,754,N/A,13,39,5.0
B001248,91.8,90,553,1.4,13,48,7.5
B001250,94.0,31,574,5.1,13,23,3.8
B001251,94.3,30,558,5.6,12,29,4.9
B001252,67.2,27,316,0.1,11,24,7.0
B001254,50.7,12,257,5.2,11,16,5.9
B001255,95.3,72,573,1.2,11,42,6.5
B001256,93.1,22,400,20.3,9,20,4.7
B001257,95.5,65,507,2.2,9,44,7.7
B001259,92.4,62,468,4.1,9,27,5.1
B001260,94.4,28,393,3.3,9,39,9.3
B001261,91.4,74,413,1.2,9,10,2.1
B001262,86.3,29,482,3.9,9,18,3.5
B001265,90.3,138,691,2.5,7,21,2.5
B001267,92.6,83,459,0.7,7,19,3.5
B001268,64.9,36,190,0.3,6,9,4.0
B001269,92.4,38,629,2.8,5,35,5.2
B001270,95.9,31,702,9.6,5,43,5.9
B001271,91.9,37,646,1.4,5,35,5.1
B001272,93.4,6,140,2.4,5,12,8.2
B001273,96.4,66,614,2.4,5,33,4.9
B001274,92.5,16,553,0.7,5,28,4.9
B001275,95.9,24,488,1.1,5,28,5.5
B001276,95.4,15,161,2.2,5,20,11.4
B001277,96.0,139,932,1.6,5,23,2.1
B001278,96.8,28,599,0.6,4,16,2.6
B001279,78.9,15,261,2.7,4,21,7.6
B001280,92.9,13,242,0.5,3,13,5.1
B001281,97.2,24,538,1.6,3,19,3.4
B001282,95.9,28,386,0.6,3,15,3.6
B001283,93.2,11,308,1.0,3,10,3.1
B001284,95.9,13,346,0.9,3,21,5.8
B001285,92.6,30,644,0.6,3,29,4.3
B001286,89.5,19,455,1.3,3,25,5.3
B001287,90.6,10,316,1.2,3,20,6.1
B001288,96.6,34,256,0.7,3,8,2.8
B001289,97.1,9,239,4.6,2,12,4.8
B001290,91.9,8,106,1.4,2,4,3.5
B001291,96.0,8,230,0.6,1,5,2.1
B001292,97.2,8,243,3.4,1,5,2.0
B001293,95.8,2,161,0.7,1,3,1.8
B001294,92.1,7,146,2.1,1,3,2.0
B001295,92.2,4,127,1.0,1,3,2.3
B001296,96.2,5,158,6.3,1,1,0.6
B001297,91.2,6,94,8.8,1,1,1.0
C000059,93.7,33,545,1.2,23,49,8.5
C000071,94.7,38,117,1.2,25,34,21.9
C000127,94.9,81,372,0.3,23,11,2.4
C000141,97.3,123,520,0.3,29,16,2.5
C000174,91.6,79,247,0.4,33,22,6.7
C000266,94.9,49,657,0.1,21,38,5.4
C000286,90.0,9,391,5.9,21,13,3.2
C000380,N/A,32,454,N/A,19,21,4.3
C000537,94.0,12,169,4.5,23,16,8.8
C000542,90.7,28,296,0.9,35,9,2.8
C000556,93.7,33,518,13.6,31,36,6.5
C000560,82.3,51,308,9.8,21,9,2.5
C000567,85.3,27,428,2.2,43,12,2.6
C000705,92.1,18,84,2.0,29,3,2.9
C000714,93.6,94,1379,5.4,51,48,3.3
C000754,84.2,22,341,1.0,33,25,6.9
C000794,80.3,7,145,8.6,29,14,9.2
C000880,87.9,51,517,1.1,23,13,2.3
C000984,96.2,48,697,2.3,20,29,3.9
C001035,67.3,92,664,0.0,19,26,3.4
C001036,96.8,68,711,2.5,18,40,5.1
C001037,94.5,49,690,3.9,17,27,3.7
C001038,96.4,36,488,3.1,17,49,9.4
C001045,93.3,12,387,1.3,15,37,9.3
C001046,95.6,8,0,8.0,15,4,50.0
C001047,92.6,53,524,2.3,15,37,6.4
C001048,94.7,26,434,9.6,15,43,9.3
C001049,95.1,44,756,5.1,15,37,4.6
C001050,72.9,4,117,23.9,13,16,13.2
C001051,94.5,29,505,4.4,13,42,7.9
C001053,92.8,31,680,2.2,13,47,6.6
C001056,90.6,95,468,1.3,14,12,2.1
C001058,74.6,3,127,2.4,12,8,6.2
C001059,72.5,30,455,4.4,11,38,7.8
C001060,95.4,26,305,3.0,11,21,6.3
C001061,95.2,33,522,9.3,11,41,7.4
C001062,96.0,17,516,0.4,11,42,7.9
C001063,76.0,19,320,1.6,11,36,10.6
C001064,89.0,19,225,31.1,11,29,11.9
C001066,96.0,20,602,4.5,9,33,5.3
C001067,94.6,17,870,4.3,9,45,5.1
C001068,95.0,92,1373,2.8,9,46,3.1
C001069,94.7,38,816,1.5,9,41,4.8
C001070,93.2,303,532,0.7,9,21,2.5
C001071,87.2,27,181,2.1,9,12,5.8
C001072,94.4,37,858,3.0,8,35,3.9
C001075,94.5,72,414,3.6,7,26,5.3
C001076,93.6,75,422,5.0,7,27,5.4
C001077,93.1,44,731,0.8,7,38,4.9
C001078,93.2,67,1112,0.4,7,48,4.1
C001080,96.2,26,1142,4.4,7,44,3.8
C001081,77.0,6,199,0.9,6,13,6.3
C001082,95.8,8,256,1.6,5,21,8.0
C001083,92.5,62,378,2.8,5,22,5.0
C001084,96.7,50,1042,1.8,5,36,3.3
C001085,95.1,26,245,0.6,5,12,4.4
C001086,93.5,9,147,0.9,5,19,12.2
C001087,94.9,37,492,3.9,5,32,6.0
C001088,95.8,66,678,1.8,6,25,3.4
C001089,97.8,0,5,0.0,4,0,0.0
C001090,96.3,92,1001,1.2,3,26,2.4
C001091,96.2,17,160,4.4,3,19,10.7
C001092,94.9,20,429,1.7,3,33,7.3
C001093,95.6,28,262,3.0,3,11,3.8
C001094,95.4,24,348,0.8,3,26,7.0
C001095,95.1,17,389,0.8,3,14,3.4
C001096,94.3,11,578,4.2,3,34,5.8
C001097,95.1,33,577,5.5,3,31,5.1
C001098,82.2,53,180,16.8,3,5,2.1
C001101,96.2,12,477,2.7,3,8,1.6
C001102,92.3,12,117,7.0,2,8,6.2
C001103,96.4,8,185,0.4,1,2,1.0
C001105,92.0,3,152,1.5,1,9,5.8
C001106,86.5,3,207,1.0,1,8,3.8
C001107,83.0,10,174,2.1,1,7,3.8
D000096,95.4,27,625,6.7,19,25,3.8
D000191,90.9,67,888,4.2,29,33,3.5
D000197,96.6,34,539,3.0,19,19,3.3
D000216,97.0,90,742,2.7,25,28,3.4
D000327,93.0,4,81,5.1,39,8,9.4
D000355,93.2,7,275,6.6,61,23,8.2
D000399,94.6,38,483,2.1,21,38,7.3
D000482,94.7,13,499,4.4,21,31,6.1
D000492,93.6,7,48,1.2,35,12,21.8
D000533,85.5,23,680,0.9,28,35,5.0
D000563,96.4,125,630,0.5,33,21,2.8
D000595,77.1,31,83,3.7,17,2,1.8
D000598,95.9,54,630,1.2,15,37,5.4
D000600,90.9,7,374,5.1,13,41,10.8
D000604,88.5,38,403,0.2,11,32,7.3
D000607,72.5,28,259,3.7,9,22,7.7
D000610,96.3,48,736,5.3,6,46,5.9
D000612,93.5,38,361,1.4,5,44,11.0
D000613,82.0,44,360,1.7,5,23,5.7
D000614,94.3,48,371,2.8,5,23,5.5
D000615,91.9,26,762,1.3,5,27,3.4
D000616,94.3,14,481,5.4,5,29,5.9
D000617,94.7,21,548,0.4,4,19,3.3
D000618,93.4,41,298,0.7,3,22,6.5
D000619,91.5,26,535,2.4,3,27,4.8
D000620,92.9,18,424,1.9,3,14,3.2
D000621,94.9,18,262,1.0,3,20,7.1
D000622,92.8,17,388,7.4,3,21,5.2
D000623,98.5,6,270,1.3,1,5,1.8
D000624,98.3,4,130,3.4,1,2,1.5
D000625,88.3,3,69,4.3,1,4,5.6
E000172,90.7,12,158,3.9,19,16,9.4
E000179,95.0,66,626,6.7,27,50,7.2
E000215,95.3,21,807,3.2,23,46,5.6
E000285,90.1,58,518,2.3,19,16,2.8
E000288,94.8,85,1280,6.4,9,35,2.6
E000290,94.8,27,676,2.3,8,27,3.8
E000291,95.4,48,632,2.8,5,35,5.1
E000292,88.9,7,428,2.8,3,22,5.1
E000293,95.3,28,554,1.3,3,27,4.6
E000294,93.1,9,152,0.6,1,2,1.2
E000295,94.6,7,79,0.0,1,1,1.2
F000010,N/A,14,208,N/A,27,13,5.9
F000030,94.7,13,883,2.6,23,41,4.6
F000043,95.7,35,531,4.3,21,25,4.4
F000062,94.7,209,531,3.8,24,23,3.1
F000116,94.3,59,598,47.5,23,18,2.7
F000339,92.9,30,286,4.4,35,13,4.1
F000372,91.5,22,291,3.8,21,26,8.3
F000444,87.8,67,342,3.8,15,12,2.9
F000445,95.3,26,597,1.6,15,32,5.1
F000448,93.4,31,849,2.8,13,37,4.2
F000449,91.1,44,417,3.2,11,25,5.4
F000450,94.1,28,241,0.2,11,13,4.8
F000451,84.3,71,670,1.3,11,37,5.0
F000454,92.4,25,310,0.9,8,17,5.1
F000455,94.9,41,651,3.3,8,27,3.9
F000456,95.0,30,442,0.7,7,20,4.2
F000457,96.3,92,836,0.7,7,17,1.8
F000458,95.7,40,456,5.6,5,28,5.6
F000459,96.1,14,349,1.5,5,23,6.3
F000460,95.2,31,753,0.8,5,55,7.0
F000461,96.3,31,603,2.4,5,38,6.0
F000462,96.8,10,451,2.2,3,22,4.8
F000463,95.0,41,236,0.0,3,12,4.3
G000021,94.2,16,182,8.4,29,27,13.6
G000289,94.4,37,445,1.0,23,29,6.0
G000359,85.8,29,360,11.6,21,13,3.3
G000377,94.4,12,302,4.2,19,38,12.1
G000386,89.8,94,454,0.0,41,21,3.8
G000410,83.4,50,659,3.4,23,49,6.9
G000535,94.8,8,621,16.7,23,20,3.2
G000544,88.1,8,171,4.6,17,15,8.4
G000546,95.7,71,475,5.6,15,42,7.7
G000548,91.9,53,320,1.6,13,23,6.2
G000549,88.9,74,393,1.9,13,35,7.5
G000550,94.7,40,359,7.7,13,19,4.8
G000551,93.7,87,1821,6.8,13,48,2.5
G000552,90.2,25,479,6.2,11,35,6.9
G000553,93.1,37,478,3.8,11,33,6.4
G000555,95.8,157,875,0.7,9,21,2.0
G000556,94.0,150,410,3.5,7,18,3.2
G000558,96.2,39,562,0.8,7,29,4.8
G000559,92.7,22,740,3.3,7,45,5.9
G000560,92.7,10,316,1.3,6,16,4.9
G000562,94.5,50,441,1.7,5,30,6.1
G000563,96.4,10,487,0.7,5,28,5.6
G000564,75.3,44,646,0.8,5,61,8.8
G000565,92.9,72,702,8.1,5,39,5.0
G000566,94.4,12,363,2.4,5,25,6.7
G000567,96.1,38,684,1.5,5,51,7.1
G000568,90.0,38,360,1.1,5,22,5.5
G000569,89.4,49,533,4.2,5,57,9.8
G000570,95.4,22,255,2.2,5,13,4.7
G000571,93.3,18,353,2.6,3,18,4.9
G000572,80.8,8,163,1.8,3,14,8.2
G000573,87.0,11,201,3.6,3,21,9.9
G000574,98.9,6,132,0.6,1,3,2.2
G000575,84.3,6,85,0.1,1,4,4.4
G000576,94.2,6,201,1.1,1,3,1.4
G000577,95.9,6,53,0.4,1,2,3.4
H000067,94.6,26,349,4.3,35,37,9.9
H000206,94.9,99,359,2.7,41,18,3.9
H000324,95.5,39,1307,4.8,23,45,3.3
H000329,94.1,42,147,4.3,21,12,6.3
H000338,88.5,138,398,4.2,39,15,2.8
H000528,96.0,22,170,4.8,29,15,7.8
H000627,93.5,13,414,22.4,23,19,4.4
H000636,91.7,28,666,15.6,19,41,5.9
H000712,76.3,2,210,9.6,23,15,7.1
H000874,95.5,6,130,3.9,35,16,11.8
H001016,87.6,26,157,7.1,23,3,1.6
H001032,94.5,60,845,6.3,17,33,3.6
H001034,94.8,91,1420,5.2,15,45,3.0
H001036,95.6,5,395,0.4,13,25,6.2
H001038,95.8,36,671,3.1,11,46,6.5
H001041,80.6,121,510,3.5,9,15,2.4
H001042,96.4,75,724,10.2,9,26,3.3
H001045,94.7,33,523,1.4,7,38,6.8
H001046,92.4,45,567,4.1,7,22,3.6
H001047,92.5,31,606,0.9,7,27,4.2
H001048,95.2,58,504,3.0,7,51,9.1
H001049,89.7,138,260,1.1,7,12,3.0
H001050,95.4,14,378,5.6,5,24,6.1
H001051,86.9,32,787,4.9,5,65,7.9
H001052,92.2,24,571,1.1,5,23,3.9
H001053,96.0,16,613,2.9,5,42,6.7
H001054,88.2,8,155,0.8,5,22,13.5
