A000022,94.4,7,217,9.6,33,19,8.5,35.77,45.37,44.76,54.51,84.88,
A000055,93.6,19,264,3.8,19,27,9.5,46.62,47.05,45.64,55.96,94.02,
A000069,94.4,32,182,2.0,39,9,4.2,43.32,48.88,44.11,48.28,96.85,
A000210,94.1,34,398,3.0,26,23,5.3,48.19,49.17,48.14,49.88,95.28,
A000358,96.0,10,166,21.1,15,10,5.7,18.53,45.79,43.81,50.46,66.77,
A000360,87.4,53,319,3.6,13,16,4.3,47.74,51.84,46.67,48.43,94.33,
A000361,93.0,12,184,2.7,13,18,9.2,44.80,46.07,44.15,55.53,95.75,
A000362,64.7,16,197,0.6,9,14,6.6,45.36,46.63,44.39,51.76,99.06,
A000365,93.7,2,172,4.8,7,12,6.9,37.97,44.66,43.92,52.19,92.44,
A000366,94.9,6,121,0.0,5,15,11.8,48.54,45.22,42.97,59.29,100.00,
A000367,77.7,15,162,0.0,5,5,2.8,41.04,46.49,43.74,46.25,100.00,
A000368,84.9,70,575,0.3,5,22,3.4,61.86,54.23,51.44,47.12,99.53,
A000369,94.6,41,592,6.9,5,25,3.9,47.24,50.15,51.76,47.85,89.13,
A000370,99.0,9,127,10.1,2,2,1.5,34.19,48.18,47.82,44.37,84.09,
A000371,92.0,3,134,5.2,1,3,2.2,38.33,45.65,48.21,45.39,91.81,
A000372,97.8,2,155,0.4,1,3,1.9,44.53,45.22,49.39,44.95,99.37,
A000373,78.7,2,208,1.0,1,7,3.3,48.69,45.22,52.36,46.98,98.43,
A000374,96.4,10,168,0.3,1,2,1.1,48.41,48.60,50.12,43.79,99.53,
B000013,93.5,12,430,3.2,23,35,7.9,47.96,46.07,48.74,53.64,94.96,
B000208,89.5,8,272,2.7,23,13,4.6,41.01,45.51,45.79,48.86,95.75,
B000213,93.7,18,361,4.8,31,39,10.3,48.18,46.91,47.45,57.12,92.44,
B000220,83.4,9,94,2.2,21,14,13.6,47.81,45.65,42.47,61.90,96.54,
B000243,87.5,84,143,0.2,41,5,2.2,50.95,56.21,43.38,45.39,99.69,
B000287,96.0,8,213,3.9,23,31,14.0,48.58,45.51,44.69,62.48,93.86,
B000410,95.2,18,210,6.3,33,23,10.1,43.02,46.91,44.63,56.83,90.08,
B000461,90.4,25,213,4.0,21,19,8.0,44.63,47.90,44.69,53.79,93.70,
B000468,95.3,54,109,0.8,33,5,3.1,45.49,51.98,42.75,46.69,98.74,
B000490,84.7,33,527,4.4,23,37,6.6,50.68,49.03,50.55,51.76,93.07,
B000574,93.6,78,1291,4.8,20,34,2.5,75.46,55.36,64.80,45.82,92.44,
B000575,87.6,56,656,2.2,19,31,4.4,59.59,52.26,52.95,48.57,96.54,
B000589,91.3,3,3,0.0,25,0,0.0,32.75,44.80,40.77,42.20,100.00,
B000652,83.8,14,309,1.0,19,13,4.0,44.10,46.35,46.48,47.99,98.43,
B000711,95.6,151,628,6.2,33,21,2.7,70.30,65.64,52.43,46.11,90.24,
B000755,95.4,49,379,4.1,19,42,9.8,55.10,51.28,47.78,56.39,93.54,
B000911,94.9,20,808,5.3,23,42,5.1,52.24,47.20,55.79,49.59,91.65,
B000944,95.0,209,694,1.1,23,25,2.8,93.00,73.80,53.66,46.25,98.27,
B001135,91.5,73,443,1.9,21,23,4.5,57.80,54.66,48.98,48.72,97.01,
B001149,93.6,43,358,10.4,33,15,3.7,38.28,50.43,47.39,47.56,83.62,
B001227,96.6,11,627,2.5,18,36,5.6,50.37,45.93,52.41,50.31,96.06,
B001228,93.1,11,99,4.8,18,18,16.4,48.20,45.93,42.56,65.95,92.44,
B001230,95.1,59,610,2.2,17,16,2.4,55.97,52.69,52.10,45.68,96.54,
B001231,90.6,13,271,1.8,17,14,4.9,43.17,46.21,45.77,49.30,97.17,
B001232,89.0,31,143,0.8,17,16,9.2,49.20,48.74,43.38,55.53,98.74,
B001234,92.2,37,240,7.6,17,21,7.6,42.40,49.59,45.19,53.21,88.03,
B001236,92.0,39,550,2.1,15,17,2.9,50.86,49.87,50.98,46.40,96.69,
B001242,94.5,40,577,2.5,13,45,7.3,57.69,50.01,51.48,52.77,96.06,
B001243,95.2,71,876,1.7,13,35,3.7,68.86,54.38,57.06,47.56,97.32,
B001244,93.5,34,208,4.4,13,17,7.0,44.39,49.17,44.59,52.34,93.07,
B001245,N/A,25,754,N/A,13,39,5.0,20.56,47.90,54.78,49.44,N/A,
B001248,91.8,90,553,1.4,13,48,7.5,69.83,57.05,51.03,53.06,97.80,
B001250,94.0,31,574,5.1,13,23,3.8,47.30,48.74,51.42,47.70,91.97,
B001251,94.3,30,558,5.6,12,29,4.9,47.41,48.60,51.12,49.30,91.18,
B001252,67.2,27,316,0.1,11,24,7.0,50.86,48.18,46.61,52.34,99.84,
B001254,50.7,12,257,5.2,11,16,5.9,39.78,46.07,45.51,50.75,91.81,
B001255,95.3,72,573,1.2,11,42,6.5,65.37,54.52,51.40,51.61,98.11,
B001256,93.1,22,400,20.3,9,20,4.7,25.21,47.48,48.18,49.01,68.03,
B001257,95.5,65,507,2.2,9,44,7.7,62.15,53.53,50.17,53.35,96.54,
B001259,92.4,62,468,4.1,9,27,5.1,53.50,53.11,49.45,49.59,93.54,
B001260,94.4,28,393,3.3,9,39,9.3,51.53,48.32,48.05,55.67,94.80,
B001261,91.4,74,413,1.2,9,10,2.1,54.74,54.80,48.42,45.24,98.11,
B001262,86.3,29,482,3.9,9,18,3.5,46.14,48.46,49.71,47.27,93.86,
B001265,90.3,138,691,2.5,7,21,2.5,74.95,63.81,53.61,45.82,96.06,
B001267,92.6,83,459,0.7,7,19,3.5,60.86,56.06,49.28,47.27,98.90,
B001268,64.9,36,190,0.3,6,9,4.0,45.91,49.45,44.26,47.99,99.53,
B001269,92.4,38,629,2.8,5,35,5.2,55.16,49.73,52.45,49.73,95.59,
B001270,95.9,31,702,9.6,5,43,5.9,46.95,48.74,53.81,50.75,84.88,
B001271,91.9,37,646,1.4,5,35,5.1,57.53,49.59,52.77,49.59,97.80,
B001272,93.4,6,140,2.4,5,12,8.2,42.19,45.22,43.32,54.08,96.22,
B001273,96.4,66,614,2.4,5,33,4.9,60.96,53.67,52.17,49.30,96.22,
B001274,92.5,16,553,0.7,5,28,4.9,51.19,46.63,51.03,49.30,98.90,
B001275,95.9,24,488,1.1,5,28,5.5,51.30,47.76,49.82,50.17,98.27,
B001276,95.4,15,161,2.2,5,20,11.4,47.78,46.49,43.72,58.71,96.54,
B001277,96.0,139,932,1.6,5,23,2.1,82.89,63.95,58.10,45.24,97.48,
B001278,96.8,28,599,0.6,4,16,2.6,63.40,50.29,57.48,45.97,99.06,
B001279,78.9,15,261,2.7,4,21,7.6,49.09,47.55,48.02,53.21,95.75,
B001280,92.9,13,242,0.5,3,13,5.1,47.89,47.13,47.49,49.59,99.21,
B001281,97.2,24,538,1.6,3,19,3.4,59.08,49.45,55.77,47.12,97.48,
B001282,95.9,28,386,0.6,3,15,3.6,55.77,50.29,51.52,47.41,99.06,
B001283,93.2,11,308,1.0,3,10,3.1,46.73,46.70,49.33,46.69,98.43,
B001284,95.9,13,346,0.9,3,21,5.8,51.98,47.13,50.40,50.60,98.58,
