Abraham, Ralph (R, Louisiana District 5 )
Adams, Alma (D, North Carolina District 12 )
Aderholt, Robert B (R, Alabama District 4 )
Aguilar, Pete (D, California District 31 )
Alexander, Lamar (R, Tennessee Senate)
Allen, Richard W (R, Georgia District 12 )
Amash, Justin (R, Michigan District 3 )
Amodei, Mark (R, Nevada District 2 )
Ashford, Brad (D, Nebraska District 2 )
Ayotte, Kelly (R, New Hampshire Senate)
Babin, Brian (R, Texas District 36 )
Baldwin, Tammy (D, Wisconsin Senate)
Barletta, Lou (R, Pennsylvania District 11 )
Barr, Andy (R, Kentucky District 6 )
Barrasso, John A (R, Wyoming Senate)
Barton, Joe (R, Texas District 6 )
Bass, Karen (D, California District 37 )
Beatty, Joyce (D, Ohio District 3 )
Becerra, Xavier (D, California District 34 )
Benishek, Dan (R, Michigan District 1 )
Bennet, Michael F (D, Colorado Senate)
Bera, Ami (D, California District 7 )
Beyer, Don (D, Virginia District 8 )
Bilirakis, Gus (R, Florida District 12 )
Bishop, Mike (R, Michigan District 8 )
Bishop, Rob (R, Utah District 1 )
Bishop, Sanford (D, Georgia District 2 )
Black, Diane (R, Tennessee District 6 )
Blackburn, Marsha (R, Tennessee District 7 )
Blum, Rod (R, Iowa District 1 )
Blumenauer, Earl (D, Oregon District 3 )
Blumenthal, Richard (D, Connecticut Senate)
Blunt, Roy (R, Missouri Senate)
Boehner, John (R, Ohio District 8 )
Bonamici, Suzanne (D, Oregon District 1 )
Booker, Cory (D, New Jersey Senate)
Boozman, John (R, Arkansas Senate)
Bordallo, Madeleine Z (D, Guam At Large)
Bost, Mike (R, Illinois District 12 )
Boustany, Charles W Jr (R, Louisiana District 3 )
Boxer, Barbara (D, California Senate)
Boyle, Brendan (D, Pennsylvania District 13 )
Brady, Kevin (R, Texas District 8 )
Brady, Robert A (D, Pennsylvania District 1 )
Brat, Dave (R, Virginia District 7 )
Bridenstine, James (R, Oklahoma District 1 )
Brooks, Mo (R, Alabama District 5 )
Brooks, Susan (R, Indiana District 5 )
Brown, Corrine (D, Florida District 5 )
Brown, Sherrod (D, Ohio Senate)
Brownley, Julia (D, California District 26 )
Buchanan, Vernon (R, Florida District 16 )
Buck, Kenneth R (R, Colorado District 4 )
Bucshon, Larry (R, Indiana District 8 )
Burgess, Michael (R, Texas District 26 )
Burr, Richard (R, North Carolina Senate)
Bustos, Cheri (D, Illinois District 17 )
Butterfield, G K (D, North Carolina District 1 )
Byrne, Bradley (R, Alabama District 1 )
Calvert, Ken (R, California District 42 )
Cantwell, Maria (D, Washington Senate)
Capito, Shelley Moore (R, West Virginia Senate)
Capps, Lois (D, California District 24 )
Capuano, Michael E (D, Massachusetts District 7 )
Cardenas, Tony (D, California District 29 )
Cardin, Ben (D, Maryland Senate)
Carney, John (D, Delaware District 1 )
Carper, Tom (D, Delaware Senate)
Carson, Andre (D, Indiana District 7 )
Carter, Buddy (R, Georgia District 1 )
Carter, John (R, Texas District 31 )
Cartwright, Matt (D, Pennsylvania District 17 )
Casey, Bob (D, Pennsylvania Senate)
Cassidy, Bill (R, Louisiana Senate)
Castor, Kathy (D, Florida District 14 )
Castro, Joaquin (D, Texas District 20 )
Chabot, Steve (R, Ohio District 1 )
Chaffetz, Jason (R, Utah District 3 )
Chu, Judy (D, California District 27 )
Cicilline, David (D, Rhode Island District 1 )
Clark, Katherine (D, Massachusetts District 5 )
Clarke, Yvette D (D, New York District 9 )
Clawson, Curt (R, Florida District 19 )
Clay, William L Jr (D, Missouri District 1 )
Cleaver, Emanuel (D, Missouri District 5 )
Clyburn, James E (D, South Carolina District 6 )
Coats, Dan (R, Indiana Senate)
Cochran, Thad (R, Mississippi Senate)
Coffman, Mike (R, Colorado District 6 )
Cohen, Steve (D, Tennessee District 9 )
Cole, Tom (R, Oklahoma District 4 )
Coleman, Bonnie (D, New Jersey District 12 )
Collins, Chris (R, New York District 27 )
Collins, Doug (R, Georgia District 9 )
Collins, Susan M (R, Maine Senate)
Comstock, Barbara (R, Virginia District 10 )
Conaway, Mike (R, Texas District 11 )
Connolly, Gerry (D, Virginia District 11 )
Conyers, John Jr (D, Michigan District 13 )
Cook, Paul (R, California District 8 )
Coons, Chris (D, Delaware Senate)
Cooper, Jim (D, Tennessee District 5 )
Corker, Bob (R, Tennessee Senate)
Cornyn, John (R, Texas Senate)
Costa, Jim (D, California District 16 )
Costello, Ryan (R, Pennsylvania District 6 )
Cotton, Tom (R, Arkansas Senate)
Courtney, Joe (D, Connecticut District 2 )
Cramer, Kevin (R, North Dakota District 1 )
Crapo, Mike (R, Idaho Senate)
Crawford, Rick (R, Arkansas District 1 )
Crenshaw, Ander (R, Florida District 4 )
Crowley, Joseph (D, New York District 14 )
Cruz, Ted (R, Texas Senate)
Cuellar, Henry (D, Texas District 28 )
Culberson, John (R, Texas District 7 )
Cummings, Elijah E (D, Maryland District 7 )
Curbelo, Carlos (R, Florida District 26 )
Daines, Steven (R, Montana Senate)
Davis, Danny K (D, Illinois District 7 )
Davis, Rodney (R, Illinois District 13 )
Davis, Susan A (D, California District 53 )
DeFazio, Peter (D, Oregon District 4 )
DeGette, Diana (D, Colorado District 1 )
Delaney, John K (D, Maryland District 6 )
DeLauro, Rosa L (D, Connecticut District 3 )
DelBene, Suzan (D, Washington District 1 )
Denham, Jeff (R, California District 10 )
Dent, Charlie (R, Pennsylvania District 15 )
DeSantis, Ron (R, Florida District 6 )
Desaulnier, Mark (D, California District 11 )
Desjarlais, Scott (R, Tennessee District 4 )
Deutch, Ted (D, Florida District 21 )
Diaz-Balart, Mario (R, Florida District 25 )
Dingell, Debbie (D, Michigan District 12 )
Doggett, Lloyd (D, Texas District 35 )
Dold, Bob (R, Illinois District 10 )
Donnelly, Joe (D, Indiana Senate)
Donovan, Dan (R, New York District 11 )
Doyle, Mike (D, Pennsylvania District 14 )
Duckworth, Tammy (D, Illinois District 8 )
Duffy, Sean P (R, Wisconsin District 7 )
Duncan, Jeff (R, South Carolina District 3 )
Duncan, John J Jr (R, Tennessee District 2 )
