hres5-112,h3-2011,112,2011-01-05T20:11:00Z,other,On Motion to Table,On Motion to Table,1/2,Passed,http://clerk.house.gov/evs/2011/roll003.xml,223_188_20_0,223_0_16_0,0_188_4_0,None
hres5-112,h4-2011,112,2011-01-05T21:57:00Z,other,On Ordering the Previous Question,On Ordering the Previous Question,1/2,Passed,http://clerk.house.gov/evs/2011/roll004.xml,236_188_7_0,236_0_3_0,0_188_4_0,None
hres5-112,h5-2011,112,2011-01-05T22:17:00Z,other,On Motion to Commit,On Motion to Commit,1/2,Failed,http://clerk.house.gov/evs/2011/roll005.xml,191_238_2_0,0_238_1_0,191_0_1_0,None
hres5-112,h6-2011,112,2011-01-05T22:34:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll006.xml,238_191_2_0,238_0_1_0,0_191_1_0,None
hres22-112,h8-2011,112,2011-01-06T18:39:00Z,passage,On Motion to Suspend the Rules and Agree,On Motion to Suspend the Rules and Agree,2/3,Passed,http://clerk.house.gov/evs/2011/roll008.xml,408_13_11_0,231_0_8_0,177_13_3_0,None
hres26-112,h9-2011,112,2011-01-07T15:56:00Z,other,On Ordering the Previous Question,On Ordering the Previous Question,1/2,Passed,http://clerk.house.gov/evs/2011/roll009.xml,236_182_16_0,234_0_7_0,2_182_9_0,None
hres26-112,h10-2011,112,2011-01-07T16:04:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll010.xml,236_181_15_2,232_0_7_2,4_181_8_0,None
hres27-112,h11-2011,112,2011-01-07T16:32:00Z,passage,On Agreeing to the Resolution,On Agreeing to the Resolution,1/2,Passed,http://clerk.house.gov/evs/2011/roll011.xml,257_159_15_3,230_0_9_2,27_159_6_1,None
hr292-112,h12-2011,112,2011-01-18T23:52:00Z,passage,On Motion to Suspend the Rules and Pass as Amended,On Motion to Suspend the Rules and Pass as Amended,2/3,Passed,http://clerk.house.gov/evs/2011/roll012.xml,399_0_35_0,234_0_7_0,165_0_28_0,None
hr2-112,h13-2011,112,2011-01-19T22:46:00Z,recommit,On Motion to Recommit with Instructions,On Motion to Recommit with Instructions,1/2,Failed,http://clerk.house.gov/evs/2011/roll013.xml,185_245_4_0,0_240_1_0,185_5_3_0,None
hr2-112,h14-2011,112,2011-01-19T22:53:00Z,passage,On Passage,On Passage,1/2,Passed,http://clerk.house.gov/evs/2011/roll014.xml,245_189_1_0,242_0_0_0,3_189_1_0,None
