Ackerman,Gary,NY,5
Adams,Sandy,FL,24
Aderholt,Robert,AL,4
Akin,W.,MO,2
Alexander,Rodney,LA,5
Altmire,Jason,PA,4
Amash,Justin,MI,3
Amodei,Mark,NV,2
Andrews,Robert,NJ,1
Austria,Steve,OH,7
Baca,Joe,CA,43
Bachmann,Michele,MN,6
Bachus,Spencer,AL,6
Baldwin,Tammy,WI,2
Barber,Ron,AZ,8
Barletta,Lou,PA,11
Barrow,John,GA,12
Bartlett,Roscoe,MD,6
Barton,Joe,TX,6
Bass,Charles,NH,2
Bass,Karen,CA,33
Becerra,Xavier,CA,31
Benishek,Dan,MI,1
Berg,Rick,ND,0
Berkley,Shelley,NV,1
Berman,Howard,CA,28
Biggert,Judy,IL,13
Bilbray,Brian,CA,50
Bilirakis,Gus,FL,9
Bishop,Rob,UT,1
Bishop,Sanford,GA,2
Bishop,Timothy,NY,1
Black,Diane,TN,6
Blackburn,Marsha,TN,7
Blumenauer,Earl,OR,3
Boehner,John,OH,8
Bonamici,Suzanne,OR,1
Bonner,Jo,AL,1
BonoMack,Mary,CA,45
Bordallo,Madeleine,GU,Delegate
Boren,Dan,OK,2
Boswell,Leonard,IA,3
Boustany,Charles,LA,7
Brady,Kevin,TX,8
Brady,Robert,PA,1
Braley,Bruce,IA,1
Brooks,Mo,AL,5
Broun,Paul,GA,10
Brown,Corrine,FL,3
Buchanan,Vern,FL,13
Bucshon,Larry,IN,8
Buerkle,AnnMarie,NY,25
Burgess,Michael,TX,26
Burton,Dan,IN,5
Butterfield,George,NC,1
Calvert,Ken,CA,44
Camp,Dave,MI,4
Campbell,John,CA,48
Canseco,Francisco,TX,23
Cantor,Eric,VA,7
Capito,Shelley,WV,2
Capps,Lois,CA,23
Capuano,Michael,MA,8
Cardoza,Dennis,CA,18
Carnahan,Russ,MO,3
Carney,John,DE,0
Carson,Andre,IN,7
Carter,John,TX,31
Cassidy,Bill,LA,6
Castor,Kathy,FL,11
Chabot,Steve,OH,1
Chaffetz,Jason,UT,3
Chandler,Ben,KY,6
Christensen,Donna,VI,Delegate
Chu,Judy,CA,32
Cicilline,David,RI,1
Clarke,Hansen,MI,13
Clarke,Yvette,NY,11
Clay,Wm.,MO,1
Cleaver,Emanuel,MO,5
Clyburn,James,SC,6
Coble,Howard,NC,6
Coffman,Mike,CO,6
Cohen,Steve,TN,9
Cole,Tom,OK,4
Conaway,K.,TX,11
Connolly,Gerald,VA,11
Conyers,John,MI,14
Cooper,Jim,TN,5
Costa,Jim,CA,20
Costello,Jerry,IL,12
Courtney,Joe,CT,2
Cravaack,Chip,MN,8
Crawford,Eric,AR,1
Crenshaw,Ander,FL,4
Critz,Mark,PA,12
Crowley,Joseph,NY,7
Cuellar,Henry,TX,28
Culberson,John,TX,7
Cummings,Elijah,MD,7
Curson,David,MI,11
Davis,Danny,IL,7
Davis,Susan,CA,53
DeFazio,Peter,OR,4
DeGette,Diana,CO,1
DeLauro,Rosa,CT,3
DelBene,Suzan,WA,1
Denham,Jeff,CA,19
Dent,Charles,PA,15
DesJarlais,Scott,TN,4
Deutch,Theodore,FL,19
Diaz-Balart,Mario,FL,21
Dicks,Norman,WA,6
Dingell,John,MI,15
Doggett,Lloyd,TX,25
Dold,Bob,IL,10
Donnelly,Joe,IN,2
Doyle,Michael,PA,14
Dreier,David,CA,26
Duffy,Sean,WI,7
Duncan,Jeff,SC,3
Duncan,John,TN,2
Edwards,Donna,MD,4
Ellison,Keith,MN,5
Ellmers,Renee,NC,2
Emerson,JoAnn,MO,8
Engel,Eliot,NY,17
Eshoo,Anna,CA,14
Faleomavaega,Eni,AS,Delegate
Farenthold,Blake,TX,27
Farr,Sam,CA,17
Fattah,Chaka,PA,2
Filner,Bob,CA,51
Fincher,Stephen,TN,8
Fitzpatrick,Michael,PA,8
Flake,Jeff,AZ,6
Fleischmann,Charles,TN,3
Fleming,John,LA,4
Flores,Bill,TX,17
Forbes,J.,VA,4
Fortenberry,Jeff,NE,1
Foxx,Virginia,NC,5
Frank,Barney,MA,4
Franks,Trent,AZ,2
Frelinghuysen,Rodney,NJ,11
Fudge,Marcia,OH,11
Gallegly,Elton,CA,24
Garamendi,John,CA,10
Gardner,Cory,CO,4
Garrett,Scott,NJ,5
Gerlach,Jim,PA,6
Gibbs,Bob,OH,18
Gibson,Christopher,NY,20
Gingrey,Phil,GA,11
Gohmert,Louie,TX,1
Gonzalez,Charles,TX,20
Goodlatte,Bob,VA,6
Gosar,Paul,AZ,1
Gowdy,Trey,SC,4
Granger,Kay,TX,12
Graves,Sam,MO,6
Graves,Tom,GA,9
Green,Al,TX,9
Green,Gene,TX,29
