R000409,Rohrabacher,Dana
R000592,Rokita,Todd
R000435,Ros-Lehtinen,Ileana
R000580,Roskam,Peter
R000593,Ross,Dennis
R000598,Rothfus,Keith
R000486,Roybal-Allard,Lucille
R000595,Rubio,Marco
R000599,Ruiz,Raul
R000515,Rush,Bobby
R000570,Ryan,Paul
R000577,Ryan,Tim
S000018,Salmon,Matt
S000030,Sanchez,Loretta
S001168,Sarbanes,John
S001176,Scalise,Steve
S001194,Schatz,Brian
S001150,Schiff,Adam
S001180,Schrader,Kurt
S000148,Schumer,Charles
S001183,Schweikert,David
S001189,Scott,Austin
S001157,Scott,David
S001184,Scott,Tim
S000250,Sessions,Pete
S001185,Sewell,Terri
S001181,Shaheen,Jeanne
S000320,Shelby,Richard
S000344,Sherman,Brad
S000364,Shimkus,John
S001154,Shuster,Bill
S001191,Sinema,Kyrsten
S001165,Sires,Albio
S000480,Slaughter,Louise
S000510,Smith,Adam
S001172,Smith,Adrian
S001195,Smith,Jason
S000583,Smith,Lamar
S001175,Speier,Jackie
S000770,Stabenow,Debbie
S001192,Stewart,Chris
S001187,Stivers,Steve
S001188,Stutzman,Marlin
S001193,Swalwell,Eric
T000472,Takano,Mark
T000464,Tester,Jon
T000193,Thompson,Bennie
T000467,Thompson,Glenn
T000460,Thompson,Mike
T000238,Thornberry,Mac
T000250,Thune,John
T000462,Tiberi,Patrick
T000470,Tipton,Scott
T000468,Titus,Dina
T000469,Tonko,Paul
T000465,Tsongas,Niki
T000463,Turner,Michael
U000039,Udall,Tom
U000031,Upton,Fred
V000129,Valadao,David
V000130,Vargas,Juan
V000131,Veasey,Marc
V000132,Vela,Filemon
V000127,Vitter,David
W000812,Wagner,Ann
W000798,Walberg,Tim
W000791,Walden,Greg
W000813,Walorski,Jackie
W000799,Walz,Timothy
W000805,Warner,Mark
W000817,Warren,Elizabeth
W000187,Waters,Maxine
W000814,Weber,Randy
W000806,Webster,Daniel
W000800,Welch,Peter
W000815,Wenstrup,Brad
W000796,Westmoreland,Lynn
W000802,Whitehouse,Sheldon
W000413,Whitfield,Ed
W000437,Wicker,Roger
W000816,Williams,Roger
W000808,Wilson,Frederica
W000795,Wilson,Joe
W000809,Womack,Steve
W000810,Woodall,Rob
W000779,Wyden,Ron
Y000062,Yarmuth,John
Y000063,Yoder,Kevin
Y000065,Yoho,Ted
Y000033,Young,Don
Y000064,Young,Todd
