A000055,AL,4
A000367,MI,3
A000369,NV,2
A000370,NC,12
A000371,CA,31
A000372,GA,12
A000373,NE,2
A000374,LA,5
B000213,TX,6
B000287,CA,34
B000490,GA,2
B000574,OR,3
B000589,OH,8
B000755,TX,8
B000911,FL,5
B001227,PA,1
B001243,TN,7
B001248,TX,26
B001250,UT,1
B001251,NC,1
B001255,LA,3
B001257,FL,12
B001260,FL,16
B001269,PA,11
B001270,CA,37
B001271,MI,1
B001273,TN,6
B001274,AL,5
B001275,IN,8
B001278,OR,1
B001281,OH,3
B001282,KY,6
B001283,OK,1
B001284,IN,5
B001285,CA,26
B001286,IL,17
B001287,CA,7
B001289,AL,1
B001290,VA,7
B001291,TX,36
B001292,VA,8
B001293,MI,8
B001294,IA,1
B001295,IL,12
B001296,PA,13
B001297,CO,4
C000059,CA,42
C000266,OH,1
C000537,SC,6
C000714,MI,13
C000754,TN,5
C000984,MD,7
C001036,CA,24
C001037,MA,7
C001038,NY,14
C001045,FL,4
C001048,TX,7
C001049,MO,1
C001051,TX,31
C001053,OK,4
C001059,CA,16
C001061,MO,5
C001062,TX,11
C001063,TX,28
C001066,FL,14
C001067,NY,9
C001068,TN,9
C001069,CT,2
C001072,IN,7
C001076,UT,3
C001077,CO,6
C001078,VA,11
C001080,CA,27
C001083,DE,1
C001084,RI,1
C001087,AR,1
C001090,PA,17
C001091,TX,20
C001092,NY,27
C001093,GA,9
C001094,CA,8
C001096,ND,1
C001097,CA,29
C001101,MA,5
C001102,FL,19
C001103,GA,1
C001105,VA,10
C001106,PA,6
C001107,FL,26
D000096,IL,7
D000191,OR,4
D000197,CO,1
D000216,CT,3
D000399,TX,35
D000482,PA,14
D000533,TN,2
D000598,CA,53
D000600,FL,25
D000604,PA,15
D000610,FL,21
D000612,CA,10
D000613,IL,10
D000614,WI,7
D000615,SC,3
D000616,TN,4
D000617,WA,1
D000619,IL,13
D000620,MD,6
D000621,FL,6
D000622,IL,8
D000623,CA,11
D000624,MI,12
E000179,NY,16
E000215,CA,18
E000288,MN,5
E000290,MD,4
E000291,NC,2
E000293,CT,5
E000294,MN,6
F000030,CA,20
F000043,PA,2
F000372,NJ,11
F000445,VA,4
F000448,AZ,8
F000449,NE,1
F000450,NC,5
F000451,PA,8
F000454,IL,11
F000455,OH,11
F000456,LA,4
F000458,TN,8
F000459,TN,3
F000460,TX,27
F000461,TX,17
F000462,FL,22
G000289,VA,6
G000377,TX,12
G000410,TX,29
G000535,IL,4
G000546,MO,6
G000548,NJ,5
G000551,AZ,3
G000552,TX,1
G000553,TX,9
G000556,FL,9
G000558,KY,2
G000559,CA,3
G000560,GA,14
G000563,OH,7
G000564,NY,19
G000565,AZ,4
G000566,SC,4
G000568,VA,9
G000570,NH,1
G000571,HI,2
G000574,AZ,7
G000575,FL,2
G000576,WI,6
G000577,LA,6
H000324,FL,20
H000636,TX,15
H000874,MD,5
H001034,CA,17
H001036,TX,5
H001038,NY,26
H001045,MS,3
H001047,CT,4
H001048,CA,50
H001051,NY,22
H001052,MD,1
H001053,MO,4
H001055,NV,3
H001056,WA,3
H001057,KS,1
H001058,MI,2
H001059,IL,14
H001060,VA,5
H001063,CA,44
H001064,WA,10
H001065,NC,13
H001067,NC,8
H001068,CA,2
H001070,NV,4
H001071,GA,10
H001072,AR,2
H001073,TX,23
I000056,CA,49
I000057,NY,3
J000032,TX,18
J000126,TX,30
J000174,TX,3
J000255,NC,3
J000288,GA,4
J000289,OH,4
J000290,KS,2
J000292,OH,6
J000294,NY,8
J000295,OH,14
J000296,FL,13
J000297,WV,3
K000009,OH,9
K000188,WI,3
K000210,NY,2
K000362,IA,4
K000363,MN,2
K000368,AZ,1
K000375,MA,9
K000376,PA,3
K000378,IL,16
K000379,MA,4
K000380,MI,5
K000381,WA,6
K000382,NH,2
K000385,IL,2
K000386,NY,24
K000387,CA,25
L000263,MI,9
L000287,GA,5
L000397,CA,19
L000480,NY,17
L000491,OK,3
L000551,CA,13
L000554,NJ,2
L000557,CT,1
L000559,RI,2
L000560,WA,2
L000562,MA,8
L000563,IL,3
L000564,CO,5
L000565,IA,2
L000566,OH,5
L000567,NJ,7
L000569,MO,3
L000570,NM,3
L000571,WY,1
L000573,ID,1
L000576,MO,7
L000578,CA,1
L000579,CA,47
L000580,NM,1
L000581,MI,14
L000582,CA,33
L000583,GA,11
L000584,UT,4
M000087,NY,12
M000312,MA,2
M000404,WA,7
M000689,FL,7
M001137,NY,5
M001143,MN,4
M001144,FL,1
M001150,MI,10
M001151,PA,18
M001156,NC,10
M001157,TX,10
M001158,TX,24
M001159,WA,5
M001160,WI,4
M001163,CA,6
M001165,CA,23
M001166,CA,9
M001177,CA,4
M001179,PA,10
M001180,WV,1
M001181,PA,7
M001182,SC,5
M001184,KY,4
M001185,NY,18
M001187,NC,11
M001188,NY,6
M001189,IN,6
M001190,OK,2
M001191,FL,18
M001193,NJ,3
M001194,MI,4
M001195,WV,2
M001196,MA,6
M001197,AZ,2
N000002,NY,10
N000015,MA,1
N000127,MN,8
N000179,CA,32
N000181,CA,22
N000182,TX,19
N000184,SD,1
N000185,FL,11
N000188,NJ,1
N000189,WA,4
O000168,TX,22
O000170,TX,16
P000034,NJ,6
P000096,NJ,9
P000197,CA,12
P000258,MN,7
P000373,PA,16
P000523,NC,4
P000588,NM,2
P000591,GA,6
P000592,TX,2
P000593,CO,7
P000594,MN,3
P000597,ME,1
P000598,CO,2
P000599,FL,8
P000601,MS,4
P000602,KS,4
P000604,NJ,10
P000605,PA,4
P000606,NC,9
P000607,WI,2
P000608,CA,52
P000609,AL,6
P000611,ME,2
Q000023,IL,5
R000053,NY,13
R000395,KY,5
R000409,CA,48
R000435,FL,27
R000486,CA,40
R000487,CA,39
R000515,IL,1
R000570,WI,1
R000575,AL,3
R000576,MD,2
R000577,OH,13
R000578,WA,8
R000580,IL,6
R000582,TN,1
R000583,FL,17
R000585,NY,23
R000586,OH,16
R000587,WI,8
R000588,LA,2
R000589,VA,2
R000591,AL,2
R000592,IN,4
R000593,FL,15
R000597,SC,7
R000598,PA,12
R000599,CA,36
R000601,TX,4
R000602,NY,4
R000603,NC,7
R000604,OK,5
S000018,AZ,5
S000030,CA,46
S000051,SC,1
S000185,VA,3
S000244,WI,5
S000248,NY,15
S000250,TX,32
S000344,CA,30
S000364,IL,15
S000480,NY,25
S000510,WA,9
S000522,NJ,4
S000583,TX,21
S001145,IL,9
S001148,ID,2
S001150,CA,28
S001154,PA,9
S001156,CA,38
S001157,GA,13
S001165,NJ,8
S001168,MD,3
S001172,NE,3
S001175,CA,14
S001176,LA,1
S001179,IL,18
S001180,OR,5
S001183,AZ,6
S001185,AL,7
S001187,OH,15
S001188,IN,3
S001189,GA,8
S001191,AZ,9
S001192,UT,2
S001193,CA,15
S001195,MO,8
S001196,NY,21
T000193,MS,2
T000238,TX,13
T000460,CA,5
T000462,OH,12
T000463,OH,10
T000465,MA,3
T000467,PA,5
T000468,NV,1
T000469,NY,20
T000470,CO,3
T000472,CA,41
T000473,HI,1
T000474,CA,35
T000475,MI,11
U000031,MI,6
V000081,NY,7
V000108,IN,1
V000128,MD,8
V000129,CA,21
V000130,CA,51
V000131,TX,33
V000132,TX,34
W000187,CA,43
W000413,KY,1
W000791,OR,2
W000795,SC,2
W000796,GA,3
W000797,FL,23
W000798,MI,7
W000799,MN,1
W000800,VT,1
W000804,VA,1
W000806,FL,10
W000808,FL,24
W000809,AR,3
W000810,GA,7
W000812,MO,2
W000813,IN,2
W000814,TX,14
W000815,OH,2
W000816,TX,25
W000819,NC,6
W000820,CA,45
W000821,AR,4
W000822,NJ,12
Y000033,AK,1
Y000062,KY,3
Y000063,KS,3
Y000064,IN,9
Y000065,FL,3
Y000066,IA,3
Z000017,NY,1
Z000018,MT,1
