Alabama,AL,7,S000320,S001141
Alaska,AK,1,M001153,S001198
Arizona,AZ,9,M000303,F000444
Arkansas,AR,4,B001236,C001095
California,CA,53,F000062,B000711
Colorado,CO,7,B001267,G000562
Connecticut,CT,5,B001277,M001169
Delaware,DE,1,C000174,C001088
Florida,FL,27,N000032,R000595
Georgia,GA,14,I000055,P000612
Hawaii,HI,2,S001194,H001042
Idaho,ID,2,C000880,R000584
Illinois,IL,18,D000563,K000360
Indiana,IN,9,C000542,D000607
Iowa,IA,4,G000386,E000295
Kansas,KS,4,R000307,M000934
Kentucky,KY,6,M000355,P000603
Louisiana,LA,6,V000127,C001075
Maine,ME,2,C001035,K000383
Maryland,MD,8,M000702,C000141
Massachusetts,MA,9,W000817,M000133
Michigan,MI,14,S000770,P000595
Minnesota,MN,8,K000367,F000457
Mississippi,MS,3,C000567,W000437
Missouri,MO,8,M001170,B000575
Montana,MT,1,T000464,D000618
Nebraska,NE,3,F000463,S001197
Nevada,NV,4,R000146,H001041
New Hampshire,NH,2,S001181,A000368
New Jersey,NJ,12,M000639,B001288
New Mexico,NM,3,U000039,H001046
New York,NY,27,S000148,G000555
North Carolina,NC,13,B001135,T000476
North Dakota,ND,1,H001061,H001069
Ohio,OH,16,B000944,P000449
Oklahoma,OK,5,I000024,L000575
Oregon,OR,5,W000779,M001176
Pennsylvania,PA,18,C001070,T000461
Rhode Island,RI,2,R000122,W000802
South Carolina,SC,7,G000359,S001184
South Dakota,SD,1,T000250,R000605
Tennessee,TN,9,A000360,C001071
Texas,TX,36,C001056,C001098
Utah,UT,4,H000338,L000577
Vermont,VT,1,L000174,S000033
Virginia,VA,11,W000805,K000384
Washington,WA,10,M001111,C000127
West Virginia,WV,3,M001183,C001047
Wisconsin,WI,8,J000293,B001230
Wyoming,WY,1,E000285,B001261
